micros,aX,aY,aZ,gX,gY,gZ,
108772727,-34.67,-30.27,1003.42,-2.27,1.83,2.69,
108792736,-51.76,-44.92,992.19,-0.09,2.02,0.24,
108812743,-40.53,-25.88,1000.49,0.47,-1.79,1.80,
108832749,-41.99,-24.41,1002.44,0.63,1.65,-0.79,
108852755,-47.36,-29.79,1011.72,0.08,1.92,0.18,
108872761,-38.57,-36.13,1000.00,-1.91,0.12,-1.98,
108892767,-29.30,-24.90,1001.95,0.02,-0.55,-0.72,
108912776,-43.95,-12.21,1003.42,1.51,-0.17,-1.25,
108932783,-37.11,-26.86,1009.77,-2.08,-0.61,-0.11,
108952789,-34.67,-28.32,1005.37,-0.02,-0.92,1.16,
108972798,-50.78,-49.32,1021.00,2.21,-0.98,-1.86,
108992806,-40.53,-25.88,1006.35,0.06,-3.92,0.44,
109012816,-54.69,-26.86,1014.65,0.95,-0.72,0.18,
109032824,-41.50,-28.32,1007.81,2.72,0.75,-1.54,
109052830,-32.23,-37.60,1004.88,-0.34,0.37,-0.11,
109072836,-38.57,-26.37,1010.25,-0.76,1.80,-0.14,
109092843,-36.13,-20.02,1006.35,-0.21,-1.85,1.82,
109112848,-38.09,-25.39,1010.25,0.35,0.55,0.43,
109132853,-39.06,-24.90,1009.28,-0.84,0.55,-0.99,
109152863,-33.20,-51.27,991.21,-0.63,2.44,2.00,
109172873,-49.32,-23.44,1010.25,0.56,-0.89,0.43,
109192878,-32.71,-20.51,1012.70,-0.85,0.60,-1.01,
109212888,-47.85,-19.53,1014.65,-1.08,-1.42,-0.52,
109232895,-42.48,-26.37,1006.35,1.27,0.63,0.75,
109252903,-48.83,-31.25,1007.81,-2.23,-0.17,-0.82,
109272911,-31.74,-31.74,999.51,-0.21,0.49,-2.93,
109292920,-44.92,-25.88,1016.60,1.37,-1.13,-0.03,
109312927,-40.04,-25.39,1004.88,1.16,-2.14,1.15,
109332936,-37.60,-25.88,1004.88,0.23,-0.03,-1.89,
109352944,-36.13,-27.34,1011.23,-0.37,-0.21,-0.61,
109372953,-33.69,-36.13,1000.00,-0.72,0.99,-0.95,
109392962,-47.36,-29.79,992.68,-0.98,0.20,1.98,
109412970,-42.48,-27.83,1014.65,-0.64,0.99,0.15,
109432978,-47.85,-24.90,995.61,0.76,-0.99,-0.11,
109452985,-26.86,-26.86,995.12,0.37,-0.73,1.10,
109472995,-55.66,-28.32,1002.93,-0.27,-0.31,-0.20,
109493006,-35.16,-23.44,1010.25,-0.03,0.66,1.77,
109513012,-52.25,-34.18,1005.86,-0.26,-0.55,0.24,
109533019,-47.36,-21.00,1013.18,-1.40,-0.18,-1.33,
109553029,-44.92,-18.07,1014.65,0.23,-1.66,-1.57,
109573036,-41.02,-44.92,1009.28,-0.82,-0.31,1.24,
109593047,-45.90,-27.34,1008.30,1.22,-1.47,1.59,
109613056,-40.04,-30.76,1006.84,-0.41,0.20,0.00,
109633065,-42.97,-21.97,1021.97,1.15,-0.76,2.06,
109653070,-39.06,-30.76,1011.72,0.14,1.94,1.71,
109673080,-40.04,-24.41,1004.39,-0.90,1.57,1.33,
109693086,-47.36,-29.79,1005.37,0.14,2.55,3.16,
109713094,-60.55,-24.41,1004.39,0.61,0.00,0.34,
109733106,-51.27,-39.06,999.02,-0.26,-1.22,-1.63,
109753113,-48.34,-30.27,996.58,0.00,-0.75,-0.47,
109773121,-43.95,-21.48,1004.88,2.15,-3.15,1.15,
109793131,-41.99,-21.00,1017.09,0.92,-0.03,-0.31,
109813139,-43.95,-18.55,1004.39,1.19,0.49,1.19,
109833148,-50.78,-27.34,1008.30,-0.32,1.91,-0.89,
109853154,-24.41,-16.11,1008.30,0.50,-0.60,2.37,
109873163,-48.34,-26.37,1005.37,-0.17,-0.76,0.67,
109893173,-40.04,-35.64,1003.91,0.90,2.90,-0.69,
109913183,-45.41,-24.41,1001.95,0.60,0.31,-0.84,
109933194,-36.62,-41.02,1014.65,1.02,-0.14,-0.66,
109953201,-44.43,-31.74,997.56,-1.25,0.50,-2.09,
109973206,-40.53,-30.76,1005.37,0.72,0.12,1.79,
109993214,-47.85,-19.53,1009.77,1.30,1.37,1.28,
110013220,-43.46,-18.55,1006.84,-0.06,-0.43,-1.85,
110033226,-39.06,-32.23,1016.11,-1.66,0.44,-3.57,
110053233,-56.15,-20.51,1010.74,0.63,-2.93,1.60,
110073238,-32.71,-29.79,1004.88,1.71,-3.53,0.58,
110093248,-21.48,-26.86,1016.60,0.14,-1.54,-2.37,
110113255,-44.43,-28.81,1000.98,-1.28,-0.82,-0.98,
110133264,-37.11,-13.18,1014.65,2.52,-2.12,-0.24,
110153273,-46.88,-32.23,1006.35,-1.18,-0.60,-0.98,
110173284,-37.60,-16.60,992.19,-1.45,0.00,0.60,
110193294,-29.79,-36.62,1008.79,1.66,1.60,-1.18,
110213302,-36.13,-20.02,1001.95,0.24,1.27,-0.20,
110233311,-48.83,-24.90,1010.25,-0.26,1.27,-1.13,
110253321,-43.46,-20.02,1011.23,-0.52,-1.48,0.58,
110273327,-39.06,-29.30,1006.84,0.69,0.47,-0.89,
110293336,-37.60,-25.39,1009.77,-0.81,-0.37,-0.31,
110313344,-44.92,-24.90,1007.32,-0.98,-0.14,1.10,
110333352,-37.60,-26.86,1009.77,1.25,-0.44,1.89,
110353361,-41.99,-24.90,1005.86,-0.53,-0.31,-0.67,
110373365,-36.13,-19.53,1008.30,-0.41,-0.52,0.73,
110393371,-41.99,-29.79,1015.14,-2.00,-0.21,0.99,
110413381,-37.11,-14.16,1004.88,0.46,0.00,1.33,
110433392,-41.99,-41.02,1010.74,-0.32,2.12,1.01,
110453398,-35.16,-40.53,1004.39,0.40,0.89,-0.27,
110473405,-42.97,-26.86,1015.62,0.15,-0.60,-1.98,
110493413,-41.50,-36.13,1009.77,0.93,2.32,1.95,
110513419,-33.69,-30.76,1003.91,-0.27,-2.35,-2.05,
110533427,-31.25,-28.32,1009.28,-0.31,0.31,1.77,
110553434,-43.95,-27.83,998.05,-0.15,-0.02,1.45,
110573444,-43.46,-19.53,1007.32,0.40,0.92,-0.08,
110593452,-42.97,-19.04,990.23,0.84,-1.48,-2.03,
110613457,-41.02,-22.95,1005.37,-0.43,0.12,-2.05,
110633466,-33.69,-19.04,1013.18,-0.15,-0.44,-1.16,
110653476,-43.95,-32.23,1000.00,-2.27,-1.66,-1.31,
110673481,-39.55,-19.04,1009.28,1.63,-0.85,1.40,
110693490,-31.74,-20.02,1015.62,1.54,-1.66,0.11,
110713499,-44.92,-37.11,1015.14,-1.59,-2.37,0.85,
110733510,-44.43,-24.41,1009.28,-0.66,-0.02,0.78,
110753515,-48.83,-29.30,1008.30,1.65,-0.76,-0.31,
110773522,-31.25,-28.32,1012.21,0.15,-0.23,-1.85,
110793528,-47.85,-28.32,1009.28,0.06,-1.05,1.01,
110813532,-34.67,-28.81,1007.32,0.96,-0.46,0.82,
110833543,-42.97,-33.20,1014.16,-0.08,-0.21,-0.44,
110853547,-42.48,-35.16,1000.98,0.41,0.85,-1.30,
110873554,-38.09,-25.39,1000.00,1.68,-0.92,2.79,
110893564,-39.55,-35.64,1007.81,-0.29,-0.43,-0.55,
110913571,-40.53,-30.76,1012.21,0.20,1.19,1.11,
110933580,-46.88,-38.09,1010.25,-1.86,-0.41,-1.42,
110953589,-39.55,-29.30,1009.28,0.17,-1.45,-0.46,
110973599,-35.64,-22.46,1007.81,-0.11,1.56,-0.78,
110993605,-40.04,-21.00,1012.70,-0.95,0.26,0.87,
111013610,-35.16,-40.04,987.79,0.43,-1.89,-1.19,
111033614,-37.60,-28.81,1011.23,0.27,0.40,0.73,
111053619,-45.90,-36.62,1006.35,0.46,1.74,-0.73,
111073629,-32.23,-31.74,1014.65,0.52,-1.24,1.88,
111093636,-43.95,-21.48,1014.65,1.04,-1.04,-0.34,
111113644,-40.53,-37.11,1007.81,-0.05,-0.44,-1.05,
111133655,-48.34,-28.32,1003.91,-1.01,-0.11,-0.26,
111153665,-45.41,-33.20,1012.70,1.60,0.82,0.92,
111173673,-39.06,-19.04,1014.16,0.87,-0.17,0.02,
111193683,-44.92,-39.06,1010.74,1.60,1.28,0.27,
111213690,-37.11,-23.93,1006.84,0.27,-0.92,0.27,
111233695,-45.41,-41.02,1005.86,-0.79,-1.04,-1.02,
111253702,-40.53,-31.74,1011.72,0.14,1.98,-1.48,
111273708,-43.95,-28.81,1015.14,0.44,0.37,1.92,
111293715,-32.71,-27.83,1006.84,0.34,-0.12,3.74,
111313720,-36.62,-21.00,992.68,0.43,0.44,-0.23,
111333730,-49.80,-39.06,1008.30,-2.38,1.13,0.70,
111353736,-41.02,-15.14,1005.86,0.34,-3.53,2.06,
111373746,-48.34,-32.71,1002.44,1.13,-2.66,-0.11,
111393757,-42.48,-21.00,1010.74,-1.18,1.10,0.17,
111413768,-36.62,-34.67,1006.84,1.42,0.26,2.20,
111433778,-46.39,-29.30,1005.37,1.50,-0.85,-1.02,
