micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1043521,570.80,765.14,-264.16,-0.96,-0.50,-1.50,-28.95,38.70,61.95,
1063524,571.29,764.16,-255.86,2.47,-1.98,1.92,-32.55,38.70,65.55,
1083532,543.46,765.14,-240.23,1.31,-1.51,-0.60,-30.60,37.80,63.90,
1103544,575.20,776.37,-258.30,-2.52,0.98,-2.64,-30.15,37.35,62.85,
1123552,565.92,761.72,-263.67,2.44,1.71,-1.48,-28.80,37.80,63.90,
1143562,567.87,771.97,-257.32,0.76,1.68,-1.53,-30.75,39.00,61.95,
1163568,546.39,765.62,-248.54,-1.60,2.11,-0.46,-30.75,39.45,62.40,
1183579,569.34,770.02,-260.74,0.85,0.95,-1.39,-28.80,38.85,62.25,
1203588,566.41,775.39,-261.72,-0.12,0.69,-1.69,-29.55,38.85,65.70,
1223597,545.41,775.39,-259.28,-1.47,0.12,-3.16,-29.70,40.95,63.00,
1243605,558.11,770.02,-267.09,0.05,2.98,-0.31,-29.85,37.80,63.90,
1263611,554.69,759.77,-250.00,-1.07,1.85,-0.50,-28.95,37.95,64.50,
1283621,565.92,761.72,-261.23,-0.60,-2.61,-0.26,-28.35,37.80,62.55,
1303631,559.57,769.04,-265.14,-0.18,-1.07,-2.43,-29.10,37.80,62.85,
1323637,565.43,770.02,-255.37,-0.63,3.19,-1.39,-29.25,36.90,63.75,
1343641,548.83,773.93,-260.25,-3.44,2.26,-1.37,-29.55,38.10,63.90,
1363648,568.85,760.25,-252.44,-0.47,-0.17,0.08,-29.10,36.60,62.25,
1383653,556.15,772.95,-263.18,-1.37,1.98,-2.32,-29.55,37.80,62.55,
1403659,557.62,765.62,-259.28,-1.36,2.21,-3.45,-29.70,38.70,63.00,
1423668,567.38,753.91,-260.74,1.02,-0.90,0.63,-29.85,37.80,63.60,
1443677,570.80,769.04,-252.44,0.35,-1.07,0.81,-30.00,39.45,63.45,
1463688,564.94,766.11,-266.60,1.39,0.55,1.98,-29.85,38.85,62.85,
1483698,563.48,773.93,-259.28,0.61,-1.04,2.18,-29.55,39.90,62.85,
1503709,567.38,764.16,-263.18,2.78,-1.89,1.37,-29.85,38.10,64.65,
1523715,553.22,776.86,-255.37,1.22,-1.28,-0.56,-29.55,38.55,62.85,
1543726,573.73,769.53,-262.70,1.98,-2.93,1.25,-30.30,39.75,62.70,
1563731,563.48,764.16,-260.25,0.60,-3.85,0.02,-30.15,37.80,62.55,
1583739,558.11,753.42,-261.72,0.99,1.33,2.26,-29.25,36.15,64.50,
1603747,560.55,758.30,-256.84,2.02,-0.70,-0.55,-30.30,37.95,64.50,
1623752,563.48,772.95,-264.65,3.76,-2.17,-0.70,-28.80,38.85,62.55,
1643763,571.78,762.21,-257.81,1.73,1.57,-0.23,-30.30,37.65,63.00,
1663775,572.27,765.14,-267.09,0.90,-0.87,0.34,-29.70,37.95,62.40,
1683783,569.34,774.41,-255.86,1.21,-1.66,1.45,-30.30,38.70,62.70,
1703795,551.76,774.90,-262.21,0.27,2.92,-2.15,-30.30,37.95,62.70,
1723799,564.94,763.67,-266.60,-1.76,0.63,2.00,-27.90,38.25,63.00,
1743807,579.59,772.46,-259.77,-2.03,0.63,-4.61,-28.65,39.00,62.70,
1763812,574.71,763.67,-258.30,-0.81,2.12,-2.24,-29.25,38.70,63.00,
1783822,562.50,769.04,-262.70,-0.29,1.66,-2.67,-30.30,39.75,63.00,
1803831,564.94,776.86,-254.88,-1.85,1.88,-1.24,-31.35,37.65,63.45,
1823838,560.06,773.93,-259.28,-1.39,2.46,-2.02,-29.85,38.10,62.55,
1843844,571.29,769.04,-259.28,0.60,0.60,-1.91,-30.15,38.55,62.25,
1863850,549.32,765.62,-262.70,-2.02,0.49,-2.06,-28.65,39.75,63.00,
1883861,569.82,756.84,-240.23,-0.93,1.25,-1.98,-29.25,37.95,61.95,
1903870,567.87,770.51,-263.18,-3.04,0.37,-3.77,-30.60,38.85,62.85,
1923876,575.20,770.02,-258.30,-1.18,0.90,-0.79,-29.25,39.75,63.45,
1943886,571.29,760.25,-264.65,0.35,2.35,-1.53,-30.00,37.65,63.45,
1963892,582.52,767.09,-257.81,0.32,0.63,-1.54,-32.70,37.05,66.00,
1983899,566.41,762.70,-262.21,-1.27,1.18,-1.34,-30.15,37.80,62.25,
2003907,558.11,766.60,-257.81,-0.11,1.48,-1.44,-28.80,38.10,62.25,
2023916,561.52,768.07,-261.23,2.21,-1.83,-0.53,-30.60,38.55,63.60,
2043923,566.89,764.65,-245.12,0.82,-1.48,1.54,-30.00,39.45,63.00,
2063929,561.52,770.51,-255.37,-0.55,-3.07,-0.75,-29.25,38.70,63.45,
2083938,563.96,752.93,-260.74,1.83,-0.64,0.69,-31.05,38.70,62.40,
2103943,574.22,771.97,-255.86,1.82,-0.92,0.06,-31.05,38.70,63.75,
2123952,560.55,773.44,-249.02,1.59,0.29,0.72,-31.65,38.55,62.55,
2143957,557.13,776.37,-260.74,4.50,-0.29,0.89,-30.30,38.25,62.70,
2163966,569.34,766.11,-248.05,1.01,-1.39,2.02,-30.60,38.85,62.55,
2183973,579.10,776.86,-261.72,1.05,-1.21,0.40,-30.00,40.95,63.00,
2203978,567.87,775.39,-265.62,2.12,-1.76,4.14,-29.85,40.35,62.55,
2223987,572.27,764.65,-253.42,-0.17,-0.40,0.63,-30.00,38.25,62.70,
2243994,577.64,771.48,-262.21,0.34,0.84,0.96,-30.30,38.70,62.40,
2264003,560.06,766.11,-257.32,3.85,-1.82,0.05,-31.20,37.35,64.65,
2284013,561.52,773.93,-247.56,0.66,-1.47,1.28,-29.25,38.70,63.45,
2304021,574.71,769.53,-258.30,2.00,-0.08,1.94,-30.60,39.30,61.80,
2324033,556.64,770.02,-268.07,0.32,2.47,-0.84,-29.70,39.45,61.65,
2344038,568.36,764.65,-264.65,-0.11,1.54,-1.37,-27.75,38.10,63.60,
2364046,566.89,766.11,-255.37,-2.32,2.38,1.05,-30.30,38.70,63.45,
2384057,567.87,758.79,-260.25,0.53,0.14,-0.63,-29.85,38.10,61.80,
2404063,563.48,771.00,-249.51,-1.50,4.92,-0.40,-31.65,39.60,62.85,
2424074,556.64,778.32,-268.55,-0.15,-0.41,-1.45,-28.80,37.80,63.60,
2444083,572.75,780.27,-251.95,-0.52,-0.29,-1.86,-30.30,38.25,63.45,
2464095,564.94,769.53,-260.25,-0.31,1.47,-2.69,-28.95,39.45,62.40,
2484104,555.66,768.55,-256.35,-2.82,3.45,0.55,-28.80,38.55,63.60,
2504112,569.82,774.41,-251.46,-1.27,1.28,-2.47,-29.55,39.30,63.60,
2524119,562.50,768.07,-255.37,0.96,0.26,-1.19,-29.70,38.25,63.00,
2544131,574.22,761.23,-241.70,-1.98,1.73,-1.51,-30.00,39.00,62.70,
2564143,558.11,771.00,-269.53,-1.77,1.19,0.05,-29.70,38.25,63.00,
2584151,560.06,776.86,-240.72,0.32,1.53,2.26,-30.15,39.60,61.80,
2604163,574.22,767.58,-242.68,0.02,0.43,0.60,-29.55,38.55,62.25,
2624168,558.59,768.55,-266.60,1.54,-0.84,-0.90,-31.65,37.80,64.95,
2644173,558.59,770.51,-264.16,0.73,-1.47,-0.29,-31.35,39.00,64.50,
2664182,573.73,761.72,-252.44,0.15,0.12,-0.43,-28.95,38.70,63.00,
2684191,572.27,760.74,-256.84,0.90,-0.99,-0.60,-29.25,37.20,62.70,
2704202,566.41,767.09,-257.32,0.70,-0.34,1.62,-31.05,38.25,64.50,
2724208,570.31,764.65,-249.51,0.75,1.45,0.06,-28.20,39.45,63.00,
2744219,558.59,767.09,-261.23,-0.08,-1.10,2.35,-28.95,38.70,62.40,
2764226,566.89,758.30,-266.60,2.76,-2.63,2.82,-30.00,39.00,63.45,
2784231,565.92,763.18,-256.35,0.92,-2.73,1.88,-29.85,39.60,61.80,
2804238,562.01,767.58,-255.86,1.47,-0.21,0.40,-29.25,37.65,61.65,
2824247,570.31,762.70,-258.79,0.47,-0.41,-0.12,-30.30,38.25,61.35,
2844257,561.52,760.74,-257.81,2.18,0.21,0.69,-28.95,37.95,63.75,
2864268,562.50,766.60,-261.72,-0.78,-2.17,0.03,-31.20,38.55,64.65,
2884273,563.96,777.83,-258.30,-0.53,0.92,-0.15,-31.80,37.20,65.10,
2904280,557.62,754.39,-246.58,-1.24,1.51,-1.91,-29.85,38.55,63.30,
2924289,561.52,759.28,-263.18,-1.39,1.94,-1.25,-29.10,39.30,62.25,
2944300,566.89,770.02,-260.74,-0.87,2.40,-1.25,-29.55,38.85,61.50,
