micros,aX,aY,aZ,gX,gY,gZ,
1227799,34.67,-6.84,-1011.72,0.79,1.51,0.12,
1247806,43.46,-13.18,-1011.23,-1.63,-0.20,1.71,
1267815,44.43,-1.46,-1036.13,1.24,0.17,1.65,
1287825,53.71,-16.11,-1012.21,1.97,0.73,1.42,
1307830,63.48,-4.88,-1031.25,-1.51,1.21,-0.64,
1327836,35.64,-12.21,-1022.46,-0.52,2.78,-0.14,
1347841,35.16,-1.46,-1012.21,0.76,0.09,-1.56,
1367850,57.13,0.98,-1017.58,1.16,-1.69,3.24,
1387854,42.48,-4.88,-1021.00,0.53,1.40,1.19,
1407866,62.50,-6.84,-1022.46,1.47,-0.96,0.32,
1427873,49.32,-11.23,-1009.28,-0.20,0.66,-0.21,
1447878,50.78,-4.39,-1018.55,1.59,0.26,-0.64,
1467883,56.64,-11.72,-1012.21,-0.52,1.83,-0.95,
1487893,54.69,3.91,-1019.04,-2.34,1.02,-1.02,
1507898,57.62,-2.93,-1006.84,1.15,-0.96,2.27,
1527906,58.11,-1.46,-1018.07,-0.72,-0.32,0.12,
1547913,52.73,-16.11,-1002.93,-0.38,0.99,-1.07,
1567922,46.39,-8.30,-1011.23,-0.84,3.10,1.02,
1587927,40.53,-0.98,-1013.18,0.76,1.45,0.43,
1607935,63.48,-13.18,-909.18,-0.29,9.51,3.60,
1627940,52.25,-8.79,-1030.27,-0.06,0.44,-0.03,
1647947,59.57,-4.39,-1008.30,-0.44,0.43,1.45,
1667954,49.32,-2.44,-1009.28,1.57,-7.91,1.69,
1687965,-21.48,-61.04,-1142.58,2.09,14.34,4.14,
1707974,65.43,-4.39,-901.86,-1.65,2.26,2.58,
1727984,111.33,26.37,-1000.49,0.40,-0.15,3.92,
1747995,60.55,-5.37,-1023.44,1.37,3.16,-1.89,
1768001,55.66,-12.70,-1000.49,1.97,-1.37,0.06,
1788006,62.99,-12.70,-1012.21,-1.85,-2.85,-0.82,
1808016,51.76,-7.81,-999.02,-1.62,-0.58,0.82,
1828025,50.29,-17.58,-1008.30,-0.78,-0.64,0.87,
1848031,56.64,-1.46,-1008.79,0.99,1.82,1.94,
1868041,69.82,-6.84,-1015.14,0.06,0.98,2.73,
1888045,47.36,-0.98,-1015.62,0.76,2.98,-4.15,
1908052,58.59,-3.91,-1011.72,1.56,0.02,-1.48,
1928060,60.06,-10.25,-1006.84,0.49,-0.69,-1.37,
1948066,58.11,-13.67,-1007.81,0.46,3.40,-0.21,
1968071,55.18,-15.14,-1004.88,0.49,3.73,-0.61,
1988079,62.99,-15.62,-1021.97,1.05,-2.38,3.08,
2008088,59.57,-13.18,-1019.53,-0.37,-1.04,-0.60,
2028096,58.59,-21.97,-1008.30,0.08,3.79,-0.76,
2048105,55.66,-4.39,-1032.71,-1.94,-1.22,0.93,
2068115,55.18,-12.70,-1029.30,0.08,-0.11,-1.59,
2088121,64.45,-12.21,-1012.70,0.34,-0.02,3.53,
2108127,61.52,-10.74,-1023.44,1.15,1.65,0.02,
2128134,65.43,-5.86,-1012.21,0.26,2.06,-0.89,
2148146,63.96,-5.86,-1020.51,0.38,1.16,0.53,
2168153,62.50,-2.93,-1009.28,0.20,0.24,0.87,
2188160,58.11,-12.21,-1002.93,-0.05,0.69,-1.42,
2208166,56.15,-6.35,-1004.39,-1.18,-1.13,-2.78,
2228173,60.55,-17.09,-1008.79,-0.20,0.14,0.52,
2248181,44.43,-13.67,-1012.21,0.02,-0.21,0.84,
2268190,57.13,-7.81,-1004.88,-2.78,-1.15,1.02,
2288198,61.04,-13.18,-1014.16,-0.67,-2.34,2.63,
2308205,50.78,-5.37,-1002.44,1.62,0.92,0.20,
2328214,57.62,-6.35,-1010.74,-0.55,1.08,0.40,
2348220,68.85,-4.88,-1018.07,-0.43,-0.21,0.29,
2368224,53.71,-11.23,-1021.48,0.44,3.60,0.92,
2388233,62.01,-12.70,-1018.55,1.15,-1.76,-0.34,
2408243,48.83,-9.77,-1005.86,-0.17,1.45,0.53,
2428249,62.50,-16.11,-1010.74,0.98,0.56,-1.22,
2448259,66.41,-3.42,-1018.07,-1.54,-1.82,-1.18,
2468266,63.96,-5.37,-1008.30,0.05,-2.20,-0.38,
2488271,52.25,-6.84,-1002.44,-0.03,-1.54,2.69,
2508277,54.69,-4.88,-1016.60,0.70,0.64,0.99,
2528282,59.08,-13.67,-1016.60,0.26,-2.21,-0.05,
2548293,52.73,5.37,-1014.65,1.27,0.90,-0.06,
2568301,73.73,-21.97,-1009.28,1.56,-1.76,-0.55,
2588312,55.18,-9.28,-999.02,2.35,1.88,0.98,
2608320,67.87,-11.72,-1016.60,-1.13,0.73,-0.40,
2628327,53.22,-9.28,-1006.84,0.61,-1.74,0.70,
2648335,54.69,-7.32,-1021.97,1.31,-3.56,4.35,
2668340,54.20,-8.30,-1003.42,-1.79,2.08,0.67,
2688349,64.45,-2.44,-1026.37,-1.73,-0.21,-0.06,
2708355,61.52,-18.55,-1016.60,1.24,-3.71,-1.25,
2728364,71.29,-6.35,-1025.39,0.35,-2.67,1.07,
2748375,52.73,-2.44,-1019.53,0.89,1.11,1.28,
2768381,57.13,-16.60,-1009.28,-1.57,1.86,-3.69,
2788389,43.95,-3.91,-1000.49,2.76,-1.44,2.43,
2808395,57.62,-7.32,-1010.25,0.90,0.38,0.73,
2828405,61.52,-3.91,-1020.51,0.11,1.65,-1.28,
2848411,60.06,-7.81,-1016.11,-0.44,-0.60,-0.20,
2868417,50.29,-8.30,-1007.81,1.13,-0.18,1.60,
2888423,67.38,-10.74,-1010.74,0.55,-1.51,0.69,
2908429,60.55,-0.98,-1021.97,-1.51,0.26,0.95,
2928439,59.57,-2.44,-1007.81,-0.02,1.83,-0.81,
2948448,72.27,-6.35,-1011.23,1.33,0.63,-0.06,
2968455,56.64,-17.09,-1001.46,0.18,2.14,0.37,
2988462,66.89,-11.23,-1008.79,3.28,0.02,1.69,
3008472,60.06,-23.93,-1012.70,0.03,1.56,0.53,
3028478,70.80,0.98,-999.02,-0.75,-1.30,0.29,
3048486,59.08,0.98,-1005.37,1.08,-2.09,0.75,
3068492,62.01,2.44,-1026.37,-2.20,1.45,-1.19,
3088499,61.52,-6.35,-1013.18,-0.72,-1.05,-1.83,
3108505,52.25,-5.37,-1015.14,1.66,1.21,-0.63,
3128512,57.62,-16.11,-998.05,0.90,-2.87,-1.54,
3148522,66.89,-10.74,-1006.35,-2.02,1.24,-1.53,
3168527,55.18,-17.09,-1012.21,-0.37,1.28,0.27,
3188531,59.57,-9.77,-1012.21,2.41,0.52,0.06,
3208541,58.11,-14.65,-1027.83,-0.73,-1.19,2.24,
3228546,64.45,-8.79,-1014.65,0.31,0.69,1.21,
3248557,58.59,0.00,-1019.04,-0.46,-0.56,0.79,
3268568,65.43,-5.86,-1010.25,2.15,0.90,1.73,
3288576,53.71,-15.62,-1003.42,0.06,-0.76,0.73,
3308582,68.36,-14.16,-1016.60,-0.89,-1.77,-0.78,
3328586,56.64,-8.30,-1017.09,-2.32,-0.73,-2.78,
3348595,54.69,-1.46,-1008.30,0.92,-0.66,1.44,
3368601,49.32,1.95,-1008.79,0.64,-2.17,1.85,
3388610,60.55,-3.42,-1007.32,-1.31,0.96,1.36,
3408614,53.71,-6.35,-1021.97,1.77,0.96,-0.52,
