micros,aX,aY,aZ,gX,gY,gZ,
1216660,441.89,-850.59,-860.35,-33.33,34.17,-52.02,
1236668,340.82,-649.90,-622.56,-32.15,43.39,-18.50,
1256677,496.58,-188.96,-713.38,15.10,60.90,11.37,
1276688,571.78,-128.91,-679.20,28.06,47.71,40.82,
1296697,628.91,36.62,-630.37,-3.10,65.54,38.81,
1316704,536.13,-410.16,-611.82,-14.70,53.04,27.71,
1336710,587.40,-510.25,-663.09,-0.47,70.37,28.73,
1356717,581.05,-450.68,-839.36,19.69,65.28,38.61,
1376723,717.77,-264.65,-625.98,41.48,52.85,35.16,
1396731,609.86,-166.99,-454.10,56.08,55.33,25.79,
1416741,309.57,-333.50,-113.77,69.16,21.88,20.15,
1436752,595.21,-326.66,-462.89,14.06,-5.85,10.03,
1456758,749.51,-302.73,-523.44,3.24,-21.24,21.44,
1476763,763.18,-165.53,-736.82,3.86,-14.99,63.53,
1496771,693.36,-256.84,-777.83,26.58,-8.09,82.53,
1516781,637.70,18.07,-566.89,31.68,-17.97,75.92,
1536791,678.22,49.80,-750.00,28.55,-26.31,78.78,
1556797,632.81,140.62,-757.32,16.27,-14.20,77.37,
1576807,576.17,74.71,-712.89,39.88,-7.88,88.32,
1596814,494.63,-503.91,-875.49,38.64,2.82,107.07,
1616821,499.51,-425.78,-813.96,72.61,22.37,109.47,
1636833,479.00,-216.31,-696.29,103.34,29.60,115.50,
1656839,426.76,-131.84,-686.04,65.13,43.04,115.63,
1676849,339.36,-269.04,-566.41,-0.64,39.65,65.71,
1696857,348.63,-357.42,-470.21,0.43,54.09,59.82,
1716866,269.04,-444.82,-425.78,16.81,62.26,83.66,
1736877,394.53,-226.07,-343.75,22.29,73.48,94.58,
1756886,398.44,280.76,-75.68,34.15,80.26,134.60,
1776890,328.61,396.48,-83.50,5.60,57.11,164.46,
1796898,274.90,287.11,-219.24,-52.18,37.54,160.67,
1816906,387.70,335.45,-447.75,-57.05,24.08,179.98,
1836912,183.11,449.71,-376.46,-78.61,57.30,209.24,
1856920,-229.98,133.30,-238.77,-100.81,60.05,226.14,
1876930,-472.17,-7.32,-303.22,-111.62,41.68,232.27,
1896939,-525.39,-494.63,-726.56,-73.76,18.15,258.23,
1916949,-541.99,-1138.67,-1147.46,-18.46,31.37,251.45,
1936957,-554.20,-1378.42,-1324.71,-14.60,64.23,222.31,
1956965,-567.87,-1627.93,-1257.32,-18.87,83.44,168.03,
1976974,-810.55,-1810.06,-936.04,-25.69,100.41,115.18,
1996984,-728.52,-1554.20,-935.55,13.86,86.21,95.82,
2016991,-692.38,-1549.32,-1013.18,51.48,64.08,73.94,
2036996,-917.97,-1428.71,-6.35,231.31,-70.95,46.70,
2057005,-582.03,-1342.29,-1108.40,33.44,117.34,18.38,
2077010,-891.60,-1522.46,-567.87,38.46,112.11,22.44,
2097015,-672.85,-1345.21,-983.89,19.57,124.49,3.16,
2117020,-967.77,-1584.47,-463.38,17.83,101.27,4.87,
2137026,-694.34,-872.07,-605.96,61.77,47.08,15.08,
2157035,-839.84,-1208.01,-662.11,138.23,-23.15,-4.02,
2177043,-705.57,-1115.23,-561.52,103.79,3.68,-34.20,
2197050,-619.14,-743.65,-750.00,139.27,-44.40,-39.16,
2217058,-949.22,-1487.30,-354.49,121.54,-47.30,-59.40,
2237067,-710.94,-1327.15,-796.39,130.09,-54.84,-92.79,
2257075,-649.41,-1368.16,-677.73,135.50,-54.49,-109.57,
2277081,-630.37,-1066.89,-621.09,83.40,-22.29,-120.89,
2297088,-647.95,-980.47,-467.77,61.22,-18.64,-121.15,
2317094,-553.71,-922.36,-518.07,51.65,-25.10,-122.18,
2337099,-573.73,-1018.07,-532.23,65.89,-23.65,-128.03,
2357105,-454.59,-782.23,-518.55,107.44,-33.33,-151.82,
2377115,-448.24,-676.27,-402.83,145.39,-20.64,-145.57,
2397123,-484.86,-720.21,-398.44,154.49,-59.95,-136.99,
2417131,-351.56,-573.24,-328.12,108.69,-66.49,-121.98,
2437142,-292.48,-526.37,-352.54,90.43,-82.93,-125.24,
2457147,-283.20,-467.77,-265.62,78.14,-80.90,-133.50,
2477157,-253.91,-471.68,-206.05,92.29,-101.22,-139.44,
2497168,-204.10,-335.94,-192.87,77.57,-115.82,-151.88,
2517179,-166.50,-228.52,-150.39,75.31,-124.96,-148.05,
2537184,-37.60,41.02,-178.22,62.43,-140.24,-128.95,
2557188,44.92,100.10,-284.67,50.84,-137.42,-115.01,
2577197,62.50,-110.35,-381.84,50.03,-134.20,-114.96,
2597202,138.67,-296.39,-505.37,52.02,-130.20,-154.14,
2617208,207.03,277.34,-187.01,60.61,-113.97,-140.81,
2637216,330.08,708.50,-71.29,34.52,-108.58,-134.03,
2657223,470.21,657.71,-49.32,-19.92,-115.89,-137.15,
2677227,552.25,412.60,-98.14,-66.35,-118.03,-168.18,
2697236,783.20,724.61,-93.75,-26.92,-132.34,-140.08,
2717241,1407.71,682.62,-1029.30,14.61,-112.63,-80.15,
2737246,1272.95,500.00,-1104.00,-52.32,-68.17,-92.06,
2757251,1268.55,269.53,-1022.95,-93.69,-40.27,-122.02,
2777261,1656.74,230.47,-986.33,-101.16,4.58,-147.60,
2797271,1572.27,799.32,-513.18,-91.36,26.02,-103.07,
2817278,1735.84,899.41,-885.74,-73.37,-9.92,-18.40,
2837283,1621.58,219.73,-1346.19,-78.38,-7.76,-24.81,
2857292,1575.68,740.23,-1007.32,-195.73,64.29,-49.91,
2877302,1221.68,729.49,-575.20,-235.66,75.76,-18.21,
2897308,1322.27,550.29,-657.71,-164.82,17.53,61.74,
2917315,1437.50,-580.57,-1292.97,-100.75,13.73,41.77,
2937324,1222.17,-299.80,-1196.29,-101.88,106.24,32.92,
2957329,762.21,202.15,-55.66,-153.82,113.01,45.15,
2977335,641.11,148.93,254.39,-163.56,61.21,70.50,
2997345,974.61,-373.54,-372.56,-136.56,-1.95,94.87,
3017356,1234.38,-873.54,-959.96,-63.11,2.96,117.54,
3037365,1005.37,-543.46,-468.75,-53.31,66.66,123.63,
3057369,636.23,-143.07,126.95,-105.02,92.12,78.90,
3077377,321.78,-39.06,480.47,-187.24,49.88,46.29,
3097385,202.15,-256.35,386.72,-181.53,-32.53,80.82,
3117391,205.57,-575.20,-85.45,-125.63,-89.40,108.72,
3137395,16.11,-628.42,-153.32,-121.53,-95.56,104.18,
3157400,-197.27,-1305.18,-302.25,-105.27,-119.08,89.21,
3177405,140.14,-872.07,-751.95,-93.19,-132.90,64.67,
3197415,97.17,-1397.95,-830.08,-127.69,-81.85,34.06,
3217424,244.14,-1386.72,-1121.58,-164.43,-140.67,-113.77,
3237432,351.56,-1425.78,-1272.95,-118.69,-76.70,-66.47,
3257441,526.86,-979.98,-1417.97,-11.60,-82.92,-28.96,
3277446,332.03,-629.39,-1016.60,93.27,-105.40,-10.66,
3297455,236.82,-480.96,-754.39,197.91,-168.70,13.95,
3317465,385.74,-592.77,-1036.13,275.66,-224.05,7.92,
3337474,543.46,-589.84,-1337.40,150.15,-182.26,-90.95,
3357482,266.11,-553.71,-1038.57,-13.97,-90.40,-146.84,
3377490,252.44,-379.88,-542.48,-52.49,-69.13,-56.75,
3397496,363.28,-426.27,-888.18,-116.02,-145.76,-20.47,
3417502,533.69,-400.88,-1413.57,-70.38,-153.36,-18.66,
3437512,504.39,-449.71,-1518.07,-49.71,-95.69,-83.05,
3457520,384.77,-413.57,-1243.16,-25.10,-24.52,-99.36,
3477525,252.93,-403.81,-885.74,54.31,-34.49,-86.09,
3497530,423.34,-418.46,-1164.06,99.50,-83.91,-107.28,
3517534,495.12,-391.60,-1352.05,113.22,-86.87,-153.57,
3537539,397.46,-208.98,-1187.50,59.04,-39.19,-202.56,
3557546,345.21,48.34,-902.83,-3.31,-4.05,-211.40,
3577555,365.23,201.66,-868.16,-16.05,-29.19,-188.66,
3597566,384.77,163.09,-976.56,0.53,-61.21,-167.05,
3617572,433.11,319.82,-1043.46,-9.94,-60.23,-163.59,
3637583,379.39,395.02,-1148.44,-2.40,-96.90,-154.98,
3657593,341.31,592.29,-956.05,-119.16,-13.68,-201.85,
3677602,214.36,683.59,-761.23,-144.02,10.14,-183.42,
3697612,332.52,732.42,-844.24,-73.27,-7.97,-122.14,
3717619,409.67,460.45,-1149.90,21.15,-46.52,-78.70,
3737628,302.25,355.47,-1021.97,27.83,-38.29,-76.95,
3757635,205.08,269.04,-956.54,28.93,-35.40,-72.76,
3777642,191.89,280.76,-941.89,52.14,-43.83,-73.82,
3797652,239.26,170.41,-870.61,54.35,-100.27,-90.64,
3817661,142.09,72.75,-816.89,8.82,-139.04,-97.73,
3837667,142.58,133.30,-992.19,5.36,-100.50,-64.15,
3857677,56.64,148.44,-900.88,4.60,-35.33,-50.09,
3877687,-62.99,97.17,-656.74,-28.12,-37.92,-65.82,
3897692,-129.88,136.23,-317.38,-75.47,-74.06,-64.11,
3917700,-404.79,30.76,-412.11,-50.64,-105.73,-2.92,
3937706,-258.30,-231.45,-1171.39,-30.11,-89.50,10.56,
3957714,-176.76,-35.64,-661.13,42.32,-195.54,139.95,
3977724,-52.73,-1150.39,-764.65,332.50,-104.78,121.74,
3997732,-958.50,331.05,-1147.95,-77.47,186.03,-136.24,
4017740,13.67,-145.02,-703.12,65.28,-48.47,-10.81,
4037745,4.39,-20.02,-1140.62,-15.65,-8.55,4.89,
4057755,-39.55,176.76,-1040.04,5.92,-18.61,8.44,
4077762,-58.11,213.87,-1025.88,-20.08,-31.53,-1.62,
4097769,-52.73,-7.32,-982.42,-32.66,-18.34,-38.31,
4117774,-58.59,186.04,-976.56,-11.18,6.08,-17.80,
4137785,-62.50,-73.73,-937.50,32.78,-20.31,9.88,
4157790,-50.78,-3.91,-933.11,56.40,7.59,-5.89,
4177800,-18.55,-70.31,-1008.30,22.18,35.15,-13.28,
4197805,-14.65,-45.90,-966.80,4.31,23.79,-5.76,
4217811,-25.88,-27.34,-998.54,-9.05,-11.21,8.85,
4237821,252.93,-71.78,-1269.53,2.72,0.99,41.18,
4257825,-11.72,-61.52,-973.14,14.58,-65.05,-8.14,
4277835,-23.93,-166.50,-1067.38,-11.68,-10.31,-35.86,
4297845,-83.01,12.70,-1015.62,-7.47,-31.95,-15.44,
4317854,-19.53,-14.16,-1001.95,-2.41,24.79,-1.05,
4337862,-27.34,-39.55,-992.68,-7.53,6.79,0.49,
4357867,-37.60,-20.02,-979.98,-2.90,-1.44,-2.56,
4377878,-52.25,-17.58,-983.89,1.04,-4.40,2.53,
4397887,-54.20,-21.00,-979.49,3.88,-1.53,1.97,
4417893,-33.69,-20.51,-985.84,2.20,1.30,0.06,
4437899,-49.80,-27.83,-978.03,6.18,-1.34,-1.39,
4457909,-41.99,-30.76,-995.12,6.03,1.69,-0.03,
4477916,-56.64,-23.44,-1023.44,4.35,5.18,-3.40,
4497923,-38.09,12.21,-935.06,4.99,6.37,-2.47,
4517929,-49.80,-50.29,-965.82,4.05,3.69,-1.01,
4537938,-26.37,-15.14,-1002.93,2.66,4.21,10.05,
4557948,-46.39,-36.62,-1019.53,8.26,6.75,13.24,
4577953,-19.53,-36.62,-1014.16,6.61,-0.15,13.02,
4597962,-48.83,-39.06,-928.22,6.14,4.37,10.90,
4617969,-36.62,-76.17,-1028.32,9.37,10.37,3.27,
4637977,-56.15,-103.03,-1049.80,1.18,-0.38,14.60,
4657987,-23.93,-42.97,-967.77,4.70,1.95,0.38,
4677996,-28.32,-51.76,-1010.25,0.56,4.49,-0.75,
4698003,-13.67,-36.13,-1002.93,-1.08,-0.31,-2.15,
4718014,-38.09,-63.48,-996.58,-0.17,1.22,-0.08,
4738019,-32.23,-48.83,-977.54,-0.99,-1.27,0.79,
4758024,-28.32,-27.83,-982.42,-0.18,-1.25,1.16,
4778029,-36.62,-60.55,-984.38,-1.54,-0.08,1.50,
4798034,-32.71,-49.80,-988.28,3.44,-1.53,1.59,
4818043,-26.86,-50.78,-980.47,-2.14,1.85,-2.53,
4838052,-39.06,-44.92,-976.56,-1.86,0.67,-2.26,
4858059,-30.27,-38.09,-992.68,-2.98,2.40,-1.21,
4878069,-30.27,-37.60,-982.91,-3.42,0.12,-0.64,
4898077,-34.67,-42.97,-976.56,-2.15,1.57,-1.54,
4918085,-40.53,-42.48,-980.47,1.95,0.15,0.29,
4938091,-24.41,-50.78,-999.02,-1.31,-1.08,1.10,
4958102,-25.39,-40.53,-987.30,-0.66,0.17,-1.36,
4978109,-18.55,-57.13,-976.56,-0.02,-0.52,0.99,
4998120,-40.04,-35.64,-989.75,1.60,-2.24,-0.96,
5018130,-43.46,-51.27,-1001.46,-4.96,-0.60,-1.94,
5038138,-29.30,-52.25,-992.68,-1.45,-0.66,-1.36,
5058149,-34.18,-46.88,-997.56,-3.63,-1.24,-3.19,
5078160,-45.41,-44.92,-980.47,-3.07,-0.31,-2.81,
5098167,-35.16,-50.29,-978.03,-0.61,1.92,-2.64,
5118175,-30.76,-48.83,-996.58,-2.17,-0.12,-1.18,
5138183,-35.16,-53.22,-979.98,2.49,1.33,1.51,
5158189,-27.83,-33.20,-989.26,1.56,-2.67,0.82,
5178199,-37.60,-38.09,-988.28,2.85,-1.11,1.01,
5198209,-33.20,-53.71,-975.10,-3.98,1.24,-2.46,
5218216,-34.67,-43.95,-977.54,-0.79,-0.11,-1.30,
5238221,-46.88,-39.55,-991.21,1.04,2.98,1.74,
5258228,-43.95,-39.06,-987.30,-1.60,1.13,-0.09,
5278233,-39.06,-41.02,-982.91,4.06,0.27,0.15,
5298239,-30.27,-31.25,-989.26,1.34,0.55,1.19,
5318249,-34.67,-55.66,-986.33,3.62,0.08,1.54,
5338258,-22.95,-46.39,-990.72,1.37,0.43,-0.76,
5358266,-39.06,-47.85,-988.28,2.05,-0.43,1.33,
5378277,-26.37,-43.95,-985.84,0.12,1.88,-1.57,
5398284,-32.71,-36.13,-984.86,0.87,3.16,-1.53,
5418293,-33.69,-54.69,-981.93,1.68,1.73,-1.37,
5438299,-37.11,-54.20,-980.96,1.25,2.02,-4.12,
5458309,-26.86,-50.78,-972.17,-2.60,0.76,-0.82,
