micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1216750,-81.54,-997.07,26.86,77.50,-59.16,115.80,-3.75,-51.15,101.85,
1236758,-246.58,-1057.62,74.22,100.40,-144.15,92.85,-2.55,-50.25,102.45,
1256768,-300.78,-1049.32,424.32,26.76,-136.21,33.02,-3.75,-50.40,103.65,
1276778,-150.39,-1044.43,-185.06,39.44,-45.66,43.27,-3.30,-51.60,102.45,
1296784,62.01,-862.30,-218.26,119.95,-85.48,-9.15,-4.20,-49.65,102.90,
1316793,227.54,-681.15,642.58,131.45,-107.77,29.85,-5.10,-49.50,103.05,
1336799,-116.21,-981.93,382.81,94.78,-7.73,101.02,-7.05,-46.80,105.75,
1356807,-290.53,-1056.15,156.25,95.62,39.16,69.83,-5.10,-46.50,104.85,
1376813,-176.27,-954.10,191.89,98.27,72.29,74.14,-5.70,-46.50,106.65,
1396821,-128.42,-843.75,318.36,115.27,83.30,83.22,-1.80,-44.70,108.30,
1416828,-284.18,-878.42,353.52,122.79,40.14,99.86,-1.80,-44.70,107.70,
1436836,-1433.11,-1081.54,-932.62,336.08,153.69,3.98,0.30,-42.75,110.55,
1456845,-644.04,-315.92,44.43,332.63,50.93,-21.69,-0.75,-39.90,112.80,
1476850,-43.46,-493.65,682.13,350.35,46.29,-64.27,0.30,-34.65,114.45,
1496854,-320.80,-512.70,1038.57,246.82,29.44,-25.48,0.75,-30.75,117.00,
1516860,24.41,-357.42,1291.99,7.25,-233.30,65.10,0.75,-25.65,117.00,
1536866,-784.18,-724.12,702.64,61.63,164.32,-6.67,0.60,-24.45,116.55,
1556876,223.63,-621.09,771.48,174.63,-176.60,56.35,-0.30,-23.70,116.85,
1576881,-375.00,-103.03,1369.14,337.01,-92.08,31.74,-0.30,-20.40,117.45,
1596888,-555.66,-148.44,724.12,250.73,-130.41,6.96,-2.25,-17.70,118.05,
1616897,-248.54,-428.71,541.99,215.97,24.84,-41.56,-2.70,-11.25,117.15,
1636905,-202.15,-156.25,736.82,301.69,-72.35,-44.31,-3.30,-11.40,116.70,
1656915,-80.57,-66.89,1654.30,236.14,-63.42,-6.02,-1.50,-4.50,115.65,
1676921,-285.16,-163.09,1690.92,33.30,3.48,3.57,-4.20,0.00,113.70,
1696930,-252.44,-318.85,961.43,-86.41,46.79,-23.50,-3.15,-0.30,115.05,
1716940,-308.11,54.20,256.84,33.24,39.19,-51.74,-2.55,-1.20,114.90,
1736947,75.68,199.71,1214.36,102.55,-6.78,-5.22,-2.25,1.20,113.55,
1756957,-61.04,173.83,1352.05,32.21,41.57,44.99,-3.00,0.15,114.15,
1776964,-126.46,-96.68,685.06,64.92,17.02,56.12,-1.35,1.35,115.05,
1796971,-144.04,-319.82,692.38,148.93,-56.21,97.19,-2.40,1.35,114.45,
1816981,-232.91,-2.44,930.18,149.77,-110.52,153.57,-5.25,4.65,113.40,
1836985,-287.11,270.51,1233.40,131.91,-58.73,85.33,-6.15,6.75,112.20,
1856991,-50.78,176.27,929.20,122.11,-49.59,53.18,-8.25,8.10,111.15,
1876998,-43.95,249.02,1391.11,109.25,-1.28,122.72,-8.40,7.95,109.20,
1897007,-223.63,184.57,834.96,33.98,-137.07,172.43,-10.50,7.95,107.40,
1917016,-184.08,190.43,720.70,97.16,-90.93,160.12,-12.60,9.75,107.10,
1937025,-250.49,490.72,839.36,110.63,-147.73,134.81,-15.15,9.45,106.80,
1957035,256.84,692.87,1271.00,189.44,-67.47,39.21,-17.25,10.95,102.60,
1977045,160.16,556.64,863.28,154.35,-158.26,66.20,-18.45,11.85,101.40,
1997051,82.03,507.81,745.12,189.18,-217.95,45.83,-20.70,11.85,97.20,
2017056,74.22,450.20,720.21,166.73,-184.29,56.34,-20.85,13.05,96.30,
