
SD init failed (second attempt). Is card present? Formatted?
Please ensure the SD card is formatted correctly using https://www.sdcard.org/downloads/formatter/
Config file read failed: SD offline
Artemis OpenLog v1.11
SD card offline
Datalogging offline
Serial logging offline
IMU online
Identifying Qwiic Muxes...
Identifying Qwiic Devices...
No Qwiic devices detected
micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1217575,-349.12,-185.55,-602.54,-125.50,40.93,123.28,24.15,-52.05,49.05,
1237582,-339.36,-222.17,-656.25,-143.05,23.40,109.27,24.75,-48.60,47.40,
1257586,-254.88,-175.29,-592.29,-141.08,22.40,88.76,26.25,-46.50,44.85,
1277597,-105.96,-28.32,-420.90,-151.57,-8.50,88.18,25.80,-45.60,44.70,
1297607,-57.62,80.08,-371.09,-166.70,-10.69,84.56,26.70,-44.70,43.80,
1317614,47.36,228.03,-340.82,-180.64,-12.23,101.66,28.20,-42.00,41.85,
1337621,7.32,303.71,-377.93,-197.91,2.37,112.43,29.25,-38.70,41.55,
1357627,-44.92,458.01,-411.62,-201.04,6.84,122.34,28.35,-35.25,39.60,
1377637,-104.98,490.72,-452.15,-198.55,-3.24,122.58,30.90,-32.70,38.55,
1397645,-171.39,523.93,-582.03,-183.45,10.66,109.02,29.85,-29.40,38.25,
1417654,-173.83,582.52,-548.34,-161.74,15.68,103.79,30.30,-24.45,37.35,
1437661,-173.34,508.79,-645.02,-153.77,28.93,92.49,30.30,-21.90,39.15,
1457669,-127.93,623.54,-698.73,-132.11,15.66,86.37,29.85,-21.30,39.00,
1477678,-148.93,641.11,-876.46,-102.26,29.82,96.46,29.70,-16.35,37.80,
1497686,-115.72,732.42,-884.28,-76.69,33.01,73.45,29.25,-16.80,38.85,
1517693,-132.32,796.88,-847.17,-49.69,22.92,74.60,28.05,-14.70,37.50,
1537703,-141.60,806.64,-872.56,-29.11,23.30,68.81,29.70,-12.00,38.10,
1557707,-131.84,815.43,-898.44,-9.85,28.93,65.24,28.80,-13.65,38.25,
1577712,-206.54,816.89,-985.35,9.91,29.63,58.41,27.60,-15.30,38.85,
1597717,-342.29,819.34,-899.41,33.98,36.70,35.44,28.65,-14.85,38.10,
1617725,-210.94,704.10,-940.92,47.21,32.52,27.71,27.15,-17.10,38.40,
1637731,-371.58,553.22,-1039.06,67.44,47.62,-1.59,24.15,-19.05,37.95,
1657737,-271.48,791.99,-686.52,94.23,51.79,-10.95,25.35,-21.15,39.15,
1677746,-92.77,720.21,-699.71,76.27,18.99,-12.56,22.80,-22.80,40.05,
1697754,-167.97,526.37,-1042.48,78.38,14.56,-20.17,23.70,-27.00,40.80,
1717764,-294.43,451.17,-1165.04,106.92,33.62,-37.11,20.25,-34.05,45.15,
1737771,-192.87,721.68,-875.00,118.35,21.51,-60.96,13.35,-41.55,52.65,
1757777,-31.74,608.89,-1034.67,99.25,2.92,-54.99,10.50,-46.80,57.90,
1777784,69.34,521.48,-1096.19,107.44,31.37,-43.25,5.55,-49.95,57.90,
1797794,-78.12,370.61,-1173.34,109.80,46.76,-27.48,2.10,-52.80,69.45,
1817800,-279.30,328.12,-1290.04,125.98,30.73,-32.05,1.20,-53.55,78.90,
1837805,-247.56,350.59,-1341.80,143.13,15.88,-52.61,0.60,-53.25,93.90,
1857814,-137.70,306.64,-1270.51,169.71,4.90,-57.37,0.75,-46.95,100.05,
1877821,-55.66,374.51,-933.59,158.52,-4.00,-42.50,3.15,-39.75,102.30,
1897831,-310.55,152.34,-1222.66,141.91,-7.25,-46.02,6.90,-30.75,104.10,
1917841,-443.85,170.90,-1189.45,173.15,-5.60,-82.05,6.90,-26.10,101.40,
1937850,-282.23,197.27,-1022.95,176.43,-6.23,-112.12,11.10,-17.25,93.45,
1957856,-47.36,144.53,-897.46,160.73,-1.25,-112.08,11.40,-15.15,82.35,
1977865,-44.92,-17.09,-1070.80,138.81,22.18,-98.89,12.15,-16.20,75.00,
1997874,-251.95,-107.42,-1124.02,131.36,36.70,-103.22,11.55,-17.55,68.55,
2017884,-187.99,-144.53,-1089.84,134.50,20.90,-107.45,12.90,-18.75,64.65,
2037894,-61.04,-152.34,-1010.25,118.00,-12.14,-93.44,12.00,-26.25,56.40,
