micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1216772,-1001.46,-14.16,-41.02,2.03,1.36,1.68,33.90,-8.40,102.30,
1236778,-1003.91,-9.77,-34.67,2.89,3.50,-3.57,33.00,-8.10,101.70,
1256783,-1005.37,-5.37,-43.95,0.52,-1.62,-2.38,33.60,-7.20,103.35,
1276789,-1007.32,-25.39,-26.86,-1.19,-8.17,1.51,32.55,-7.20,101.55,
1296796,-1012.21,0.49,-22.46,0.66,-4.09,-3.89,32.25,-8.55,102.75,
1316801,-1013.18,-6.84,-14.16,-4.76,-0.29,-3.86,31.95,-7.35,101.70,
1336808,-1002.93,-22.46,-22.95,-0.66,6.06,-1.83,35.25,-8.40,102.90,
1356813,-1006.35,-19.04,-21.00,-2.96,3.40,-3.63,32.85,-6.45,101.55,
1376822,-1012.21,-16.11,-32.23,-6.99,5.27,-2.67,33.30,-8.55,101.70,
1396830,-1005.37,-18.55,-16.60,1.42,-4.90,0.17,33.75,-7.80,102.75,
1416836,-1011.23,-12.21,-13.18,-0.32,0.47,-1.45,31.95,-8.55,102.45,
1436845,-1010.25,-10.74,-14.65,-3.69,1.02,2.24,33.60,-7.95,101.55,
1456850,-1003.42,-8.79,-27.83,-2.99,-0.15,-2.82,33.30,-8.55,102.45,
1476854,-1009.28,-16.60,-24.41,0.73,1.80,-3.94,33.30,-8.10,102.15,
1496859,-1008.30,-8.79,-22.46,0.18,1.45,-3.86,32.70,-7.80,103.05,
1516864,-1002.93,-5.37,-31.74,-0.85,-1.95,-0.52,33.60,-8.70,101.85,
1536871,-998.05,-4.39,-21.48,-1.42,0.09,-1.76,33.60,-7.95,102.60,
1556881,-995.12,-21.48,-25.39,-4.14,2.64,-1.30,33.15,-8.70,102.60,
1576889,-993.65,-9.77,-23.93,0.40,4.09,-1.91,32.55,-8.40,102.30,
1596896,-987.79,7.32,-15.14,-1.88,2.21,-0.15,33.00,-7.05,101.70,
1616902,-1005.86,-2.44,-22.95,-0.26,3.98,-6.23,32.70,-8.85,102.75,
1636911,-1011.23,-2.44,-12.70,2.73,6.75,-1.08,33.15,-7.95,102.30,
1656917,-1000.00,-17.58,-26.37,-2.46,3.92,-0.24,33.60,-8.40,101.55,
1676927,-1018.07,-21.48,-30.27,-4.50,1.39,-2.96,33.00,-7.80,102.45,
1696936,-1002.93,-21.48,-37.60,-2.20,-1.47,0.18,33.60,-8.40,102.30,
1716944,-1010.25,-17.58,-21.48,-0.40,4.90,-0.11,34.20,-6.90,102.30,
1736951,-1000.00,-15.62,-38.09,0.53,8.03,-0.82,33.90,-8.70,101.25,
1756961,-1004.88,-4.88,-16.11,-1.94,-2.38,0.23,32.85,-7.20,102.60,
1776966,-1008.79,-8.79,-30.27,-1.54,1.62,-2.37,32.85,-7.20,101.25,
1796971,-1010.25,-15.62,-23.44,-1.40,0.38,-4.29,32.25,-8.55,103.50,
1816980,-997.07,-7.81,-18.07,-2.11,-4.37,-0.67,32.85,-7.95,100.50,
1836984,-1007.32,-20.02,-21.97,-0.09,-5.25,2.06,32.10,-7.20,102.90,
1856989,-995.61,-25.39,-34.18,-0.06,-0.23,1.05,32.85,-7.95,102.60,
1876997,-1001.95,-4.39,-20.02,2.70,-1.57,0.61,33.30,-7.80,103.50,
1897002,-1005.86,-8.79,-34.18,-0.58,-4.23,2.99,32.85,-8.40,101.55,
1917008,-996.58,-9.77,-30.27,-2.76,0.49,1.50,33.90,-8.40,102.30,
1937018,-1007.32,-7.81,-27.83,1.11,0.55,-2.56,32.70,-8.85,103.05,
1957028,-1004.88,0.00,-26.37,2.67,0.38,-0.38,33.90,-9.45,102.30,
1977034,-1006.35,-0.98,-14.65,0.96,-0.55,0.23,32.10,-8.40,103.35,
1997043,-1007.32,-7.81,-6.84,-0.63,-3.57,-0.49,33.60,-7.20,101.85,
2017049,-1012.21,-3.91,-29.79,1.66,-9.85,-1.37,32.25,-9.60,102.75,
2037057,-1002.44,-8.30,-15.14,0.58,-6.61,3.73,33.30,-6.75,102.45,
2057062,-996.09,-21.48,-19.04,1.62,-2.72,-4.14,32.25,-6.75,102.45,
2077067,-1013.18,6.84,-23.93,0.72,-3.01,3.33,32.10,-7.95,102.60,
2097072,-1001.46,-20.51,-17.58,-0.44,-3.59,3.21,33.30,-8.55,103.05,
2117082,-998.05,-10.74,-20.51,2.41,-2.78,-0.34,32.10,-8.40,101.55,
2137093,-1003.91,-6.35,-18.55,0.72,-2.26,1.76,32.85,-8.70,102.30,
2157098,-1008.79,-9.77,-19.04,0.41,-1.63,-1.08,33.00,-7.80,101.40,
2177103,-999.02,-2.44,-16.60,2.55,-2.23,-1.39,33.30,-6.75,102.45,
2197111,-1011.23,-8.79,-11.72,-0.79,-0.02,0.61,33.15,-6.90,102.90,
2217118,-1009.28,-1.95,0.00,0.76,-0.27,1.91,33.30,-8.85,102.45,
2237129,-1005.37,-2.44,-27.83,5.16,2.84,1.57,33.90,-7.95,101.55,
2257134,-1018.07,-12.21,-14.16,3.65,0.11,3.76,33.00,-9.30,101.40,
2277140,-1008.30,-7.81,-19.04,-0.78,-0.23,0.79,33.60,-7.95,101.25,
2297146,-1011.23,-11.23,-19.53,1.94,-2.18,-0.15,33.15,-9.00,101.85,
2317155,-1012.70,0.00,-23.44,-0.72,-0.76,-2.64,32.70,-8.10,103.50,
2337159,-1004.39,-10.74,-29.30,0.31,-2.21,-0.23,33.75,-7.05,102.45,
2357170,-1002.44,0.98,-22.46,2.90,7.42,-1.57,32.55,-8.70,101.85,
2377178,-1002.93,-8.30,-16.11,0.61,4.43,-1.21,32.85,-8.40,102.30,
2397185,-1000.00,-1.46,-11.72,3.36,2.31,1.28,32.10,-7.65,102.60,
2417191,-1005.86,-6.35,-21.97,1.18,3.37,-2.47,33.75,-8.85,101.40,
2437201,-1000.98,-1.95,-34.67,-0.20,0.24,1.22,33.75,-8.10,103.05,
2457208,-1009.28,-4.39,-24.90,-0.73,-5.01,-4.58,34.05,-7.05,102.45,
2477213,-993.16,-7.32,-23.93,0.75,-3.60,1.37,32.70,-8.55,102.15,
2497222,-1013.18,-0.49,-20.02,2.63,-4.85,2.34,34.05,-8.55,103.05,
2517230,-1010.74,-15.14,-21.00,-0.23,-0.44,3.01,33.30,-8.10,102.45,
2537239,-1005.86,-9.28,-9.77,1.71,-3.94,0.61,33.30,-8.85,101.40,
2557246,-1008.79,-15.14,-26.37,-0.44,-6.79,-0.26,32.55,-7.65,102.90,
2577254,-1007.81,-5.37,-28.32,-1.88,-7.42,1.71,33.75,-7.80,102.15,
2597260,-1004.39,-7.81,-5.86,2.52,-5.04,0.08,33.60,-9.45,102.90,
2617268,-1006.35,-6.84,5.37,0.93,2.75,1.95,32.25,-8.55,102.75,
2637279,-1000.00,-10.25,-11.23,2.81,-3.18,2.55,32.85,-7.65,102.60,
2657289,-1012.70,-4.39,-11.72,-0.47,-3.42,1.24,32.10,-7.65,102.30,
2677295,-1009.77,-5.37,-17.58,1.48,-2.09,-2.09,33.60,-7.65,101.85,
2697300,-1006.84,-13.67,-12.21,0.84,-3.40,0.15,32.25,-7.80,103.50,
2717311,-1012.21,-17.58,-0.49,2.35,-5.44,-1.30,32.55,-7.65,103.35,
2737318,-1001.46,-14.65,-6.35,-1.02,-3.39,1.62,33.90,-7.65,102.30,
2757323,-1007.32,-0.98,-18.55,-0.53,-1.18,3.44,32.55,-8.70,102.60,
2777332,-1001.95,-11.72,0.49,-0.14,0.61,0.61,33.75,-6.75,102.75,
2797338,-994.14,-2.44,-13.67,2.47,2.21,2.21,31.65,-7.80,101.70,
2817345,-1002.93,7.81,-11.23,0.32,7.21,0.66,33.15,-9.45,102.90,
2837351,-1002.44,-7.81,-17.58,-0.24,4.21,-0.78,33.30,-9.30,101.70,
2857358,-1001.46,-11.23,-3.42,-1.37,-0.21,-3.02,33.30,-7.80,102.15,
2877365,-1001.95,-8.30,-16.60,-3.34,2.67,-1.16,33.00,-7.80,103.05,
2897370,-1000.00,-3.42,-19.53,1.51,3.62,-1.88,32.70,-8.55,104.10,
2917379,-1011.23,-3.42,-15.62,0.60,7.37,-24.05,33.00,-8.10,102.15,
2937385,-1001.46,-2.93,-11.23,-1.56,3.45,-3.63,32.70,-7.35,102.75,
2957390,-1002.44,-10.25,-8.79,0.69,1.91,-3.19,33.30,-6.75,102.15,
2977396,-1012.70,-1.95,-8.30,-0.69,3.54,-4.09,31.05,-8.40,102.30,
2997407,-996.58,-10.74,-16.60,-1.08,3.77,-2.72,33.60,-7.65,102.30,
3017417,-1004.39,-13.67,-6.84,-3.83,2.89,-0.17,31.65,-7.35,102.45,
3037427,-1007.81,-12.70,-19.53,-1.83,-0.60,-3.50,32.70,-8.55,102.15,
3057435,-1008.30,-13.18,-12.70,-2.18,-2.66,-0.87,33.15,-9.45,101.55,
3077445,-1005.86,-10.74,-8.30,-0.95,0.93,-2.06,32.85,-7.65,102.30,
3097455,-1006.84,-15.62,-16.11,-1.54,3.51,-0.82,33.90,-7.20,103.65,
3117461,-991.70,-13.67,-15.62,1.62,0.90,16.38,33.30,-8.10,102.15,
3137467,-1004.88,-14.65,-23.93,-4.09,6.72,-1.79,32.70,-8.10,102.15,
3157474,-1000.00,-18.07,-7.32,-3.27,2.24,-2.84,33.15,-7.35,101.70,
3177478,-1010.25,0.98,-10.25,-1.86,3.44,0.60,34.05,-7.80,102.75,
3197487,-1008.30,-24.41,-1.95,-1.60,-0.96,-5.24,32.70,-7.05,102.15,
3217495,-1013.67,-13.67,-19.04,-3.68,4.00,-1.48,32.70,-7.80,102.45,
3237500,-999.51,-8.30,-9.28,-3.92,-0.40,-1.45,31.95,-8.85,101.70,
3257510,-1025.39,-9.28,-13.67,-0.26,2.46,-0.66,33.00,-8.55,102.15,
3277517,-996.58,-12.70,-10.74,-1.71,3.05,-1.53,33.60,-8.70,101.85,
3297522,-1007.81,-2.93,-12.21,-4.09,-0.98,-2.09,31.05,-8.40,103.35,
3317529,-1010.74,3.91,-16.60,-0.44,1.59,1.19,31.65,-8.55,101.70,
3337534,-1020.02,-1.46,-5.37,-2.82,2.75,-2.12,32.10,-7.95,103.65,
3357541,-1011.72,-4.39,-5.86,-0.23,1.48,-0.76,33.00,-8.55,102.45,
3377549,-1010.25,0.98,-17.58,-2.60,0.82,-3.91,31.35,-7.20,101.85,
3397558,-997.07,-9.28,-7.81,-1.53,-0.03,-0.98,32.85,-7.95,101.55,
3417567,-1010.25,-14.65,-9.28,-4.61,0.64,-2.53,33.00,-9.60,103.05,
3437572,-1007.32,6.35,-9.28,-0.87,1.83,-1.04,33.75,-7.05,102.15,
3457583,-1004.39,-1.46,-5.37,-1.18,2.31,-2.47,32.10,-8.40,102.90,
3477592,-998.05,-13.18,-24.90,2.31,-0.03,-0.96,33.15,-8.40,102.60,
3497600,-992.68,-3.91,-11.23,1.71,4.84,-0.63,33.75,-8.55,101.40,
3517609,-1012.70,-12.21,-13.67,-2.05,4.17,-2.43,33.90,-9.00,101.55,
3537615,-1009.77,-2.93,-5.86,-0.34,0.67,-0.92,33.15,-7.95,102.60,
3557626,-1004.39,-10.25,-2.93,0.11,1.30,-3.69,33.00,-8.55,101.70,
3577636,-1008.79,-22.95,-4.39,0.52,5.53,-1.36,32.25,-8.55,102.75,
3597646,-1018.07,-0.98,-25.39,-0.05,6.08,-2.34,33.75,-7.80,102.75,
3617650,-1012.70,-11.72,-14.65,-0.79,9.63,0.69,33.15,-8.70,102.90,
3637657,-1011.72,-22.95,-22.46,-2.18,-1.42,-1.86,32.70,-7.80,102.75,
3657664,-999.02,-6.35,-11.72,-8.93,-1.45,2.75,32.70,-7.80,103.80,
3677675,-999.02,-14.65,-2.44,-5.15,14.61,-2.70,32.70,-9.30,103.80,
3697682,-1003.91,-5.37,-23.44,4.40,36.55,4.15,31.35,-9.00,102.60,
4498005,973.63,60.06,100.10,-43.01,-19.57,13.77,-31.05,2.10,63.00,
4518009,971.68,49.32,9.28,-17.86,-27.74,12.53,-31.05,1.80,61.95,
4538016,1031.74,66.89,72.75,-10.44,-4.50,7.22,-31.05,1.35,61.95,
4558025,999.51,40.04,124.51,-1.30,9.11,9.57,-31.20,1.50,62.55,
4578034,944.82,25.88,187.99,-2.92,-5.80,7.80,-31.95,0.45,61.20,
4598045,980.96,58.11,146.97,1.80,39.30,10.05,-31.80,1.35,62.40,
4618055,920.41,19.53,200.20,-7.07,30.64,-1.44,-31.35,1.80,62.40,
4638060,997.56,22.46,166.50,-2.60,3.40,-3.10,-32.25,0.45,62.25,
4658067,1079.10,52.25,138.67,3.15,-14.61,-3.02,-31.80,0.60,63.00,
4678077,972.17,42.48,133.30,0.31,-18.99,2.79,-31.05,1.35,61.05,
4698089,961.43,71.78,101.07,10.47,-20.85,3.76,-31.80,1.05,61.35,
4718096,1061.52,64.94,-27.83,17.13,14.40,20.76,-31.95,0.90,60.45,
4738107,912.60,2.44,-20.02,26.18,10.17,22.81,-32.10,0.60,61.35,
4758118,960.45,90.82,493.65,13.40,10.21,17.91,-31.20,1.20,62.25,
4778128,966.80,63.48,502.44,21.36,-16.21,18.79,-30.90,0.15,60.45,
4818142,897.95,0.98,108.40,28.08,-11.13,16.75,-30.30,1.05,60.60,
4838153,991.21,27.83,113.77,20.56,-9.92,13.80,-30.60,-1.20,60.15,
4858157,998.05,14.16,82.03,12.84,5.76,8.52,-30.75,-0.30,60.00,
4878167,987.79,1.95,133.79,5.30,-2.79,8.64,-32.10,-0.60,60.60,
4898173,987.30,-14.65,136.72,-3.56,-21.57,4.00,-29.70,-2.10,60.30,
4918184,1038.57,23.44,-49.32,20.64,-24.81,4.18,-30.90,-0.45,59.10,
4938189,1003.91,-10.25,96.19,10.15,-6.84,1.94,-30.75,-1.35,58.95,
4958195,987.79,-6.84,41.99,-3.02,-22.24,0.96,-31.20,-1.50,59.10,
4978199,1067.87,-15.62,-441.89,6.67,-34.31,4.31,-31.95,-0.45,59.70,
4998210,906.74,-148.44,-325.20,46.63,1.02,-1.66,-31.20,-1.20,58.35,
5018217,985.35,-46.88,108.89,7.07,-19.13,-16.23,-33.15,-2.10,57.45,
5038229,1003.91,4.88,35.16,5.79,-22.05,-19.44,-31.35,-1.35,59.25,
5058240,1007.81,13.18,-4.88,13.15,0.43,-20.26,-31.05,-1.35,57.90,
5078245,987.79,18.07,66.41,19.79,21.13,-9.04,-30.75,-1.05,57.90,
5098249,990.72,25.39,60.06,8.85,18.24,-3.18,-30.00,-1.35,58.20,
5118259,974.12,28.32,114.26,12.93,18.89,1.04,-30.30,-0.60,58.95,
5138268,980.47,18.07,52.73,-0.44,2.15,-0.17,-31.20,-1.50,58.65,
5158277,990.72,-16.11,52.25,-0.55,-0.52,-2.52,-30.60,-1.50,57.75,
5178286,988.77,2.93,122.56,7.86,10.87,-4.75,-30.90,-0.90,58.65,
5198293,998.05,19.04,46.39,8.89,12.63,-3.40,-30.60,-0.45,59.10,
5218301,987.30,-3.91,133.79,0.21,-6.63,-6.08,-30.75,-0.30,57.90,
5238306,984.86,18.07,117.19,-5.79,-12.58,-8.20,-30.90,-1.50,57.75,
5258316,1000.98,33.20,14.65,-1.47,-0.05,-3.71,-31.05,-1.05,58.95,
5278326,987.30,26.37,107.91,-0.90,-5.59,1.44,-30.90,-1.50,58.65,
5298337,1002.44,7.32,47.85,-2.64,-4.64,0.99,-30.60,-1.50,58.05,
5318345,998.05,7.32,45.90,-6.29,3.60,-2.53,-30.75,-2.55,58.20,
5338350,990.72,-12.21,72.75,-7.98,-4.64,-2.56,-31.80,-2.10,58.20,
5358359,1002.44,3.91,58.59,-3.21,2.66,-2.49,-30.00,-1.80,57.45,
5378363,999.02,4.39,57.13,1.59,8.17,-4.15,-31.35,-0.60,57.90,
5398368,992.68,6.35,79.59,0.63,6.89,-3.59,-30.30,-2.10,57.15,
5418377,986.33,9.28,67.38,0.85,4.55,-2.81,-30.60,-1.20,58.35,
5438383,996.09,11.72,86.43,-2.24,2.85,-3.63,-30.30,-1.05,57.45,
5458394,993.65,30.76,66.89,-3.44,-3.66,2.31,-30.15,-1.50,58.05,
5478400,1004.88,-0.98,63.48,-3.08,-3.13,-0.95,-29.25,-2.10,58.50,
5498406,1005.86,-2.93,48.83,-2.35,-0.79,-0.87,-30.30,0.00,57.15,
5518415,1002.93,15.14,67.87,0.37,0.47,-0.55,-30.90,-1.50,57.00,
5538423,1005.37,17.09,56.15,-0.76,-2.84,2.89,-31.05,-1.05,58.20,
5558431,999.51,5.86,71.29,-2.90,-1.37,1.83,-29.70,-1.35,57.90,
5578440,995.61,0.00,48.83,-7.08,-2.85,2.95,-30.60,-2.25,59.70,
5598448,975.10,-3.91,65.92,-0.53,-0.90,-2.27,-30.60,-1.95,57.75,
5618454,1001.95,3.91,66.41,-1.85,1.36,-1.34,-30.30,-1.80,58.95,
5638462,988.77,13.67,46.39,0.24,3.39,-2.49,-30.15,-3.00,58.05,
5658472,995.61,9.28,75.20,3.33,4.63,-1.47,-30.15,-1.95,58.35,
5678482,997.07,17.58,64.94,2.84,4.93,-1.01,-29.70,-2.10,57.15,
5698487,1000.00,17.58,59.08,1.97,6.05,1.39,-29.25,-1.05,58.50,
5718497,998.05,-1.46,76.17,3.80,-0.55,1.82,-30.75,-2.55,58.20,
5738508,998.54,-9.77,72.27,1.89,-3.53,-1.80,-30.30,-2.85,57.45,
5758516,1000.49,15.62,69.82,1.94,-4.73,0.52,-30.00,-2.10,58.20,
5778522,1001.95,-4.39,57.13,2.47,0.84,0.31,-31.35,-2.10,58.20,
5798533,986.82,14.16,104.49,1.79,-1.53,1.47,-30.75,-1.35,57.45,
5818541,986.33,10.74,74.71,2.89,-7.13,-0.47,-31.05,-1.80,57.45,
5838552,1005.86,8.30,87.40,-1.85,-6.05,1.22,-30.90,-1.50,56.70,
5858557,994.63,18.55,50.29,1.50,-3.07,-0.40,-31.80,-1.05,57.90,
5878562,1000.98,-9.77,47.85,2.46,-5.34,-2.73,-30.75,-2.55,57.45,
5898572,995.12,10.25,72.75,1.68,2.06,2.31,-29.85,-2.25,57.30,
5918578,1001.46,33.20,80.57,2.02,-1.25,-0.06,-30.75,0.00,57.15,
5938584,989.26,13.18,65.43,-2.47,-5.34,1.88,-31.35,-1.80,58.20,
5958591,993.65,-10.74,42.48,0.46,-3.34,-1.47,-31.05,-1.05,57.45,
