micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1216754,21.48,998.54,63.48,7.56,-0.31,2.63,-12.15,15.90,101.70,
1236758,39.06,1002.93,-6.35,1.74,-13.04,-1.63,-13.05,16.35,100.80,
1256766,25.39,983.40,43.46,2.85,2.44,1.13,-12.45,16.95,101.40,
1276773,36.13,983.40,-3.91,-4.02,-0.96,-2.76,-13.35,15.60,101.25,
1296782,26.37,993.65,23.44,-3.60,4.90,-1.25,-12.15,16.50,101.10,
1316787,17.58,990.72,45.90,-2.00,1.44,0.12,-12.30,17.10,102.30,
1336791,27.34,984.86,26.37,-0.02,4.46,-7.04,-12.30,15.60,101.25,
1356798,38.09,992.68,28.81,0.12,1.77,-4.40,-13.05,15.60,101.85,
1376805,14.16,991.21,43.95,1.97,3.37,-2.32,-13.80,15.60,100.80,
1396810,31.74,993.16,2.44,-2.26,-3.39,-3.62,-11.55,17.10,101.85,
1416816,22.46,982.91,26.86,-0.47,11.34,-2.35,-12.00,15.30,100.50,
1436821,14.65,993.16,34.67,-0.72,10.67,0.34,-13.05,15.60,101.55,
1456832,15.14,993.16,40.53,0.66,-4.14,2.09,-11.25,15.60,101.85,
1476841,29.30,982.91,0.98,-3.57,7.25,0.15,-13.05,14.55,100.80,
1496850,20.02,983.40,43.95,-4.47,-2.41,2.18,-14.10,15.30,101.25,
1516857,30.27,1000.00,20.51,-4.03,7.44,1.69,-12.45,15.45,100.65,
1536868,21.48,978.03,43.95,-1.02,5.45,-0.50,-12.30,16.80,101.25,
1556877,28.32,988.28,34.18,-0.50,-0.12,-2.56,-13.20,15.45,102.75,
1576887,37.11,1005.86,36.62,0.43,-2.21,-1.56,-11.85,14.70,100.65,
1596898,27.34,1002.93,24.41,1.76,2.76,-4.24,-13.35,15.60,101.55,
1616906,29.30,1013.67,35.16,-3.16,2.03,-2.95,-11.55,16.80,102.30,
1636910,20.51,987.79,23.93,-1.19,5.07,-1.47,-12.00,14.25,101.55,
1656920,31.74,1013.18,22.95,-0.52,-3.77,0.26,-12.15,15.90,101.10,
1676929,32.23,993.16,19.53,-2.44,9.85,-5.13,-13.95,16.20,100.35,
1696940,18.55,994.14,45.90,3.24,-7.01,-2.60,-12.45,14.70,101.70,
1716945,28.32,991.21,48.34,3.25,-11.97,-5.57,-12.45,15.15,102.15,
1736956,34.18,985.35,-0.49,2.70,-9.24,-6.84,-12.90,16.20,101.10,
1756961,34.18,984.38,-1.46,0.20,14.40,-4.79,-11.25,15.30,101.25,
1776968,11.72,997.07,46.39,-1.48,17.11,0.17,-11.10,15.90,101.70,
1796972,15.14,991.70,38.57,-2.89,-0.93,2.12,-12.90,15.15,101.10,
1816978,22.95,984.38,22.95,-0.49,-0.90,-2.43,-12.15,15.90,101.40,
1836986,47.85,973.14,10.74,-2.00,1.63,-3.07,-12.00,16.05,101.85,
1856994,25.39,1001.46,14.65,-3.86,11.33,0.92,-13.20,15.15,102.15,
1877004,20.51,991.21,35.64,-4.87,24.67,0.29,-12.15,15.90,102.75,
1897008,7.81,989.26,65.43,-2.93,-6.44,-6.53,-11.25,16.35,101.25,
1917017,26.37,992.68,49.80,2.43,-1.18,-5.91,-13.05,16.05,101.85,
1937022,27.34,985.84,24.90,-0.70,-16.15,-2.84,-12.30,17.10,101.25,
1957029,22.46,1002.93,-8.30,0.89,6.50,-5.24,-11.85,16.95,101.10,
1977034,16.60,987.79,41.02,-0.35,-2.69,0.34,-11.10,16.20,102.75,
1997046,14.16,985.84,15.62,1.13,-2.85,0.44,-11.85,16.20,102.45,
2017054,25.88,1002.44,6.84,-0.72,6.61,0.17,-13.35,16.35,100.50,
2037060,16.60,1005.86,50.29,-5.97,0.08,0.20,-12.00,15.60,101.25,
2057068,20.51,982.42,8.30,-3.69,0.99,1.39,-12.30,16.35,101.85,
2077077,18.55,1001.46,65.43,-1.71,6.56,-0.27,-13.20,15.90,101.10,
2097087,35.16,974.12,27.83,-2.93,-0.18,-3.97,-12.60,15.60,101.25,
2117096,30.27,993.16,15.62,-0.90,-5.51,-2.50,-12.30,15.30,101.25,
2137102,26.86,985.84,6.84,0.95,-7.57,-7.73,-11.85,15.90,102.15,
2157108,10.25,996.58,76.17,3.08,-11.21,-3.13,-11.10,16.50,101.70,
2177116,25.88,982.42,-37.11,-1.47,-3.69,-0.56,-13.20,15.90,102.15,
2197125,18.07,982.91,42.97,0.52,18.21,-0.31,-12.45,16.50,102.15,
2217136,20.02,1000.00,28.81,-4.43,-3.59,1.69,-10.95,16.35,101.55,
2237146,10.74,990.23,56.64,-1.16,6.52,1.21,-11.85,15.15,101.70,
2257154,10.25,981.93,33.69,-2.24,-7.76,3.04,-11.85,15.90,102.45,
2277163,20.51,979.98,46.39,0.69,-1.86,0.23,-11.25,16.80,100.50,
2297174,28.81,997.07,-1.46,-1.65,-4.02,1.27,-12.15,17.25,100.65,
2317180,23.44,994.63,18.07,-2.09,15.51,-1.36,-12.15,16.95,101.10,
2337189,19.04,997.07,34.67,-4.38,1.44,3.59,-13.05,16.05,100.80,
2357198,32.23,989.26,30.27,0.63,9.08,1.76,-12.30,14.85,101.85,
2377204,43.95,988.28,24.90,-0.50,3.51,0.84,-12.90,15.15,101.10,
2397212,25.88,989.75,27.34,1.31,4.43,1.31,-12.90,18.00,102.45,
2417218,28.81,997.07,15.62,-2.78,2.03,-0.40,-13.35,16.05,102.30,
2437224,35.16,983.89,51.27,-1.94,2.58,-2.98,-13.50,15.90,101.10,
2457234,34.67,986.82,30.76,-1.79,1.39,1.85,-13.05,15.60,103.95,
2477239,30.76,1004.39,33.69,0.11,-0.84,-4.93,-13.05,15.60,101.55,
2497243,33.20,1006.84,29.79,-1.83,2.82,-3.02,-13.80,13.80,101.85,
2517250,31.25,994.63,41.99,-0.44,-0.02,-2.66,-12.60,15.60,102.90,
2537255,33.20,995.12,16.60,-0.53,0.56,-1.79,-12.00,16.05,101.25,
2557263,28.81,981.45,13.67,-2.63,-0.17,-0.56,-12.00,14.85,101.55,
2577272,41.99,982.91,86.91,-1.21,-2.23,6.61,-14.10,15.30,101.85,
2597278,35.16,990.23,65.92,-4.41,0.87,4.35,-13.50,15.45,101.40,
2617282,29.79,982.42,35.16,1.77,-1.53,6.52,-13.05,15.60,100.80,
2637290,29.79,995.12,36.62,3.71,0.31,5.21,-12.45,14.40,102.15,
2657300,39.06,984.86,31.25,1.22,-2.76,5.11,-14.25,15.15,101.70,
2677308,37.11,995.61,6.84,3.69,-2.43,0.52,-12.60,16.80,102.60,
2697319,26.37,973.14,40.04,-2.89,1.98,-0.81,-13.35,16.35,101.55,
2717326,29.79,990.23,37.60,1.77,0.99,-0.29,-13.20,14.40,100.35,
2737336,42.48,998.54,41.02,-1.91,3.97,-3.33,-13.20,15.45,101.40,
2757340,33.69,1002.44,35.16,1.31,-1.28,-3.44,-12.15,15.90,102.45,
2777351,40.53,982.42,24.90,6.41,-7.24,-3.60,-13.20,16.50,103.05,
2797359,36.13,998.05,16.60,2.46,-1.98,2.85,-13.50,16.95,102.45,
2817365,38.09,993.65,18.07,-2.99,-2.43,-2.11,-13.50,15.45,100.65,
2837370,39.06,990.23,33.20,-0.52,-0.75,1.44,-12.45,15.15,101.10,
2857379,41.99,991.70,24.41,0.87,-0.43,-0.61,-13.50,15.15,100.65,
2877383,35.64,999.51,46.88,1.48,0.15,2.66,-12.15,15.90,101.40,
2897388,26.86,996.58,27.83,3.94,-0.55,-0.11,-12.45,15.90,102.15,
2917393,30.76,985.84,11.23,0.52,-0.46,4.53,-13.20,15.45,101.40,
2937403,34.18,999.02,20.51,-2.35,0.95,4.72,-11.25,14.85,101.85,
2957412,33.20,997.56,30.27,-0.38,-0.90,3.21,-13.05,17.10,100.20,
2977423,40.53,996.09,34.18,2.81,-4.64,2.17,-13.05,16.35,101.85,
2997434,46.39,996.58,20.02,2.35,0.99,0.96,-11.25,15.60,100.80,
3017439,38.57,983.40,29.79,0.24,3.33,-1.28,-14.40,15.60,101.55,
3037446,25.88,982.42,51.27,1.51,-2.61,0.70,-14.10,16.05,101.55,
3057451,52.25,982.42,44.92,2.20,-2.43,1.30,-14.10,14.85,101.55,
3077460,34.67,987.30,30.76,4.52,-3.88,1.24,-12.45,14.70,103.50,
3097465,50.78,985.84,17.58,4.03,-2.15,2.26,-12.00,15.30,101.25,
3117471,40.53,990.72,25.88,-1.77,-0.14,-0.84,-13.05,15.30,103.35,
3137481,49.32,1000.00,32.23,-1.13,-0.26,1.27,-12.60,14.55,100.50,
3157490,43.46,987.30,14.65,-2.41,3.56,3.28,-13.50,16.20,100.35,
3177500,33.69,982.91,36.62,-3.30,-0.69,2.15,-13.05,16.35,100.80,
3197510,38.09,981.93,38.09,0.34,-0.06,-1.30,-13.50,15.45,102.45,
3217517,45.41,978.03,11.23,2.24,2.58,1.98,-13.20,15.15,100.65,
3237528,39.06,997.07,21.97,0.18,19.77,0.24,-12.90,15.15,101.10,
3257533,21.00,999.02,74.22,-0.75,-6.79,-1.82,-13.50,13.95,100.65,
3277544,43.95,996.58,16.60,2.37,0.32,-8.50,-12.60,15.60,100.80,
3297554,24.90,1000.98,64.45,11.62,-10.55,-0.05,-12.30,16.05,102.30,
3317562,23.44,1001.46,88.87,18.40,-28.93,8.11,-12.60,15.30,100.50,
3337570,52.25,995.61,-54.69,8.95,-37.44,13.97,-12.60,14.85,101.25,
3357576,81.05,982.42,-78.12,6.49,39.97,12.47,-14.25,16.20,101.70,
3377584,43.95,978.52,106.45,10.26,40.67,13.24,-13.35,16.35,100.20,
4818132,-216.80,-940.92,-215.82,72.79,-64.21,-1.91,6.45,-59.70,90.60,
4838139,-219.73,-959.47,-24.41,63.68,-49.71,-14.24,6.60,-57.30,94.65,
4858146,-295.41,-999.02,-39.06,40.63,-2.34,-54.11,5.55,-59.55,93.30,
4878153,-164.55,-1015.62,-100.10,29.19,37.24,-76.53,3.60,-58.65,95.10,
4898163,-167.48,-1008.30,-11.72,13.65,42.55,-80.03,5.10,-59.70,94.80,
4918172,-250.98,-1191.41,-56.15,-11.28,43.57,-99.73,4.05,-58.65,95.85,
4938180,65.92,-1011.72,-38.57,-32.15,40.50,-123.28,4.05,-58.20,94.80,
4958190,200.68,-1051.27,-27.34,-65.08,22.08,-58.90,1.35,-58.80,93.90,
4978196,126.95,-951.17,-121.58,-87.68,16.29,-0.29,-0.30,-58.80,93.90,
4998202,-16.11,-963.87,-416.02,-65.94,32.21,23.19,1.50,-58.65,92.40,
5018208,-145.51,-1015.62,-437.50,1.66,25.42,31.22,1.80,-59.40,91.65,
5038213,-168.46,-1000.49,-407.23,42.73,5.71,12.93,1.20,-58.95,91.95,
5058220,-56.64,-991.21,-189.94,53.50,25.25,-4.26,1.05,-59.55,91.20,
5078225,-84.47,-1017.09,-76.66,44.82,33.73,-12.43,2.40,-58.80,91.50,
5098230,-14.65,-1016.11,-21.00,21.24,32.93,-11.53,3.60,-58.95,93.45,
5118240,-16.60,-1004.39,-42.48,3.98,35.91,-7.21,2.25,-58.65,93.75,
5138247,-9.28,-1023.44,-208.01,-3.57,40.82,-9.34,2.70,-58.05,93.90,
5158254,2.44,-1006.35,-69.34,7.85,24.46,0.66,2.55,-60.00,93.75,
5178258,27.83,-984.86,-36.13,-2.09,9.82,14.60,3.45,-57.75,92.55,
5198264,38.09,-988.28,-73.73,-23.07,12.64,32.99,3.30,-57.45,95.10,
5218274,-128.91,-1006.84,-187.99,-24.47,13.18,28.50,3.60,-58.20,93.00,
5238283,-164.55,-995.12,-271.97,-7.71,14.29,12.61,4.20,-57.75,93.60,
