micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1216769,-78.12,-15.14,1014.16,4.81,0.46,0.60,24.75,-22.65,105.75,
1236778,-31.74,0.00,1044.43,3.86,1.92,-6.31,26.85,-21.90,105.75,
1256788,-53.22,15.62,1042.48,-1.30,7.05,0.05,23.25,-21.90,104.70,
1276792,-24.41,0.49,1011.72,-4.00,3.48,-1.94,24.00,-21.90,105.45,
1296800,-42.97,-3.91,1033.20,-1.74,3.69,0.49,24.90,-22.05,106.20,
1316806,-48.34,4.88,1043.46,1.34,-0.20,-2.84,24.45,-22.35,106.65,
1336810,-45.41,-23.44,980.47,-4.96,-2.85,0.89,25.20,-22.80,105.90,
1356819,-60.06,-21.00,1003.91,-1.62,-4.75,-2.08,25.65,-22.05,106.20,
1376829,-24.90,3.91,1059.57,2.72,-4.27,1.39,25.65,-22.05,105.60,
1396837,-43.95,-0.49,1034.67,-0.44,-0.67,-3.69,24.00,-20.70,105.00,
1416845,-7.32,15.62,1074.71,2.92,0.20,-3.01,24.45,-21.75,106.65,
1436854,-20.51,19.53,1029.79,-2.67,-2.21,-2.84,24.15,-21.30,106.95,
1456858,-42.48,-1.46,1002.44,-2.64,-1.66,-1.24,24.15,-21.75,106.20,
1476866,-11.23,2.44,1002.93,0.18,-3.83,-1.11,24.75,-22.20,106.35,
1496877,-37.60,-17.58,1041.50,-3.68,2.82,0.08,22.05,-22.80,106.20,
1516884,-51.27,-11.72,1065.43,-6.38,3.25,-0.46,24.45,-22.35,107.25,
1536890,-30.27,-18.07,1014.65,-8.41,7.68,4.90,25.05,-21.15,105.45,
1556901,-54.20,-11.23,990.72,-1.04,1.53,0.60,22.95,-21.90,107.10,
1576907,-26.37,-7.81,1018.55,2.85,3.42,-1.02,24.45,-21.75,105.60,
1596915,-33.20,-5.86,1060.55,-0.53,1.73,0.44,23.40,-22.35,107.25,
1616919,-43.95,5.86,1024.41,-2.23,0.96,-1.48,23.10,-20.55,106.20,
1636929,-44.43,-8.30,1027.83,-7.05,5.11,-1.36,25.05,-22.65,106.35,
1656937,-28.81,-14.16,1017.09,-3.60,7.80,-1.04,22.80,-23.10,105.90,
1676948,-31.74,-2.44,1032.23,0.56,1.59,0.78,24.90,-22.80,105.15,
1696952,-58.59,-7.32,1031.74,-1.56,-1.39,-2.52,24.00,-22.20,106.05,
1716960,-52.25,0.49,1021.48,-0.06,-5.10,-1.89,24.90,-23.10,106.20,
1736966,-24.90,-16.11,1023.93,0.43,2.26,-2.50,26.40,-21.15,105.45,
1756971,-26.86,-8.79,1096.68,-2.41,4.35,2.66,24.30,-21.90,104.70,
1776977,-65.92,-9.77,1063.48,-4.72,2.99,-1.40,24.90,-22.35,105.15,
1796987,-25.39,0.49,1052.25,-7.71,2.15,-0.05,24.90,-22.05,106.20,
1816992,-54.20,-11.72,988.28,-7.94,-2.55,-4.73,24.45,-22.35,106.20,
1836997,-12.21,-1.46,995.12,1.60,-6.95,-2.87,24.90,-22.80,105.90,
1857006,-23.44,-14.65,1025.39,2.53,0.72,-4.05,22.80,-22.35,106.20,
1877011,-55.18,-22.95,1011.23,-1.19,3.08,-2.02,25.35,-22.65,104.70,
1897020,-22.95,8.30,1087.89,-0.29,0.89,-0.63,24.15,-21.75,105.90,
1917028,-34.67,-15.14,1034.67,-0.38,0.38,0.03,24.75,-21.45,106.80,
1937033,-28.32,-18.55,1034.18,-2.46,-2.24,-2.90,24.30,-22.20,105.75,
1957044,-32.23,-16.11,990.72,-3.54,6.67,-4.06,22.20,-21.45,105.75,
1977048,-22.95,-9.77,1049.80,-4.05,4.81,0.32,24.90,-21.75,105.90,
1997056,-30.76,-12.70,1008.79,0.96,4.98,-1.11,24.45,-22.80,105.90,
2017062,-37.11,-24.41,1019.53,-2.23,0.34,-2.09,24.75,-22.20,106.05,
2037069,-41.02,-13.18,1041.99,-1.95,-0.46,-1.44,25.95,-22.80,105.90,
2057076,0.00,-29.30,1039.06,-2.17,2.27,-1.66,23.85,-22.35,106.65,
2077082,-20.51,-20.02,995.61,0.03,5.07,3.57,23.40,-22.80,105.90,
2097093,-42.48,1.46,1047.85,-2.24,1.27,-0.75,24.00,-21.15,107.10,
2117103,-53.71,-12.21,1012.21,0.09,1.63,-5.82,24.90,-21.75,104.55,
2137110,-19.04,-5.86,1022.95,0.12,0.60,-2.40,23.70,-22.20,105.00,
2157121,-36.13,-14.65,1057.13,-3.53,1.31,-1.37,24.15,-22.05,106.65,
2177129,-35.16,-9.77,1043.95,-4.40,1.79,-0.89,24.45,-23.10,104.85,
2197135,-44.92,-7.32,1013.67,-0.85,-1.79,-1.42,24.90,-21.75,105.60,
2217144,-62.01,-10.25,1031.25,-2.35,3.33,0.38,24.75,-21.90,104.40,
2237154,-45.90,-20.51,918.95,-3.18,6.34,-0.12,24.75,-21.15,105.45,
2257161,-27.34,-8.30,1003.42,-5.37,6.12,-0.43,24.90,-22.80,106.65,
2277167,-25.39,-26.86,1061.52,0.96,3.21,-1.19,24.00,-22.65,105.00,
2297177,-73.73,-18.55,1023.44,1.11,1.19,1.80,23.70,-22.95,106.35,
2317188,-33.20,-13.67,1046.88,0.34,-2.12,2.12,23.70,-21.90,106.35,
2337193,-8.79,-11.72,1055.66,-0.47,1.68,3.74,24.75,-22.95,106.05,
2357201,-32.71,-2.93,1035.16,2.08,1.92,-1.11,25.20,-22.05,103.80,
2377207,-36.62,-21.48,1030.76,4.46,0.99,-2.46,24.90,-21.30,104.85,
2397214,-39.06,-17.58,1051.27,-2.84,-5.69,5.25,23.85,-22.05,106.65,
2417225,-42.48,-32.71,995.12,-0.89,-4.21,1.63,25.05,-22.20,106.80,
2437236,-59.57,-17.09,1004.88,-0.84,-1.36,2.12,24.90,-22.35,105.90,
2457243,-21.00,-8.79,1015.14,1.22,-1.47,2.05,24.00,-22.20,105.75,
2477250,-2.93,-3.42,1027.34,6.34,-0.27,2.69,25.20,-21.75,105.90,
2497255,-57.62,7.81,1048.83,4.32,0.17,-1.28,24.90,-22.35,104.85,
2517262,-55.66,-14.16,1045.41,1.19,3.40,0.87,23.70,-22.65,106.05,
2537269,-59.57,-18.55,1029.79,-2.93,-1.27,-2.55,24.90,-22.05,106.65,
2557277,-42.97,-45.90,1011.23,-2.26,-2.15,-0.41,24.30,-22.65,105.75,
2577286,-16.11,-38.09,1011.72,1.27,-1.33,2.46,24.75,-21.45,105.45,
2597298,-55.66,-12.21,997.07,0.52,-1.73,5.21,24.90,-22.80,105.15,
2617303,-42.97,-8.30,1031.25,3.62,1.28,-0.34,25.65,-21.75,105.15,
2637309,-71.78,-13.67,1052.73,0.40,5.65,2.95,25.80,-22.20,105.45,
2657317,-49.80,-18.07,1040.53,1.88,1.51,-1.91,24.90,-22.35,104.85,
2677324,-24.90,-37.60,1046.39,-0.20,-4.72,-0.82,24.30,-22.20,106.35,
2697331,-41.02,-27.34,1040.53,1.79,-8.67,-0.43,24.15,-21.30,105.90,
2717339,-69.82,-29.30,1001.46,2.55,-11.42,-4.53,24.15,-22.80,105.60,
2737348,-8.79,-26.37,1012.70,-2.64,-5.63,-0.67,24.30,-24.00,106.35,
2757353,-65.92,-24.41,1021.97,3.60,-4.44,0.05,24.75,-22.65,105.45,
2777363,-34.18,-17.58,1058.11,0.49,4.29,-1.60,23.70,-21.45,105.75,
2797370,-50.78,1.46,1030.27,-0.11,4.26,0.85,24.30,-21.15,105.75,
2817374,-6.35,-29.30,1008.30,0.38,-3.53,-0.85,26.10,-20.70,106.05,
2837380,-43.46,-21.97,1007.81,-0.38,-5.83,0.84,23.10,-22.05,104.85,
2857387,-47.85,-24.41,1004.88,4.11,-7.25,-2.78,25.05,-24.00,105.75,
2877393,-22.95,-24.41,1065.43,4.27,-1.13,2.43,25.05,-22.20,103.95,
2897400,-58.59,-17.09,1049.80,6.70,-2.00,-4.09,24.45,-22.35,105.15,
2917409,-5.86,-12.70,1066.89,-2.66,5.13,4.35,24.75,-22.20,104.70,
2937420,-47.85,-18.55,1031.74,0.61,3.31,2.89,25.05,-19.65,104.40,
2957431,-29.30,-13.18,1044.43,1.77,0.81,-0.70,23.70,-22.20,105.00,
2977438,-50.29,-4.39,1004.88,2.52,-0.58,0.92,25.65,-22.05,105.15,
2997445,-42.48,-26.37,1012.70,7.16,-3.39,-1.63,24.90,-21.00,105.15,
3017454,-35.64,-7.32,1048.83,3.40,-0.75,-0.85,25.35,-21.45,106.05,
3037460,-37.11,-26.86,1032.71,2.47,5.89,0.32,24.30,-20.70,106.35,
3057465,-69.34,-31.25,999.02,2.15,10.40,3.60,23.70,-21.45,105.75,
3077471,-77.15,-9.28,1034.67,6.17,2.49,2.98,23.85,-21.30,104.55,
3097478,-37.60,-12.70,1059.08,4.29,-4.69,-2.17,24.90,-22.35,105.15,
3117485,-55.18,10.25,1032.71,3.19,-3.05,0.63,24.75,-21.45,105.45,
3137495,-23.93,1.95,1041.50,1.04,-4.00,-0.90,24.75,-22.20,104.70,
3157502,-41.99,-9.28,1021.00,0.96,5.10,0.53,24.15,-22.05,105.90,
3177506,-68.85,-2.44,1028.81,0.75,1.33,1.73,25.65,-20.55,104.55,
3197511,-55.18,-16.60,1029.30,1.28,-1.36,-0.96,24.90,-21.75,104.55,
3217517,-49.80,-14.65,1038.09,5.08,-2.20,-1.50,24.75,-20.70,105.00,
3237522,-20.02,3.42,1052.73,3.92,-6.40,0.52,23.25,-22.20,105.00,
3257533,-58.11,-25.39,1026.86,-0.52,1.11,1.21,24.00,-21.90,104.70,
3277538,-42.97,-5.37,1008.79,-1.74,0.96,-2.23,25.20,-22.80,105.90,
3297548,-61.04,-0.49,1033.20,2.12,2.12,-0.81,25.05,-22.65,105.75,
3317556,-22.95,-18.55,1042.97,2.85,-0.66,3.71,23.25,-20.70,106.05,
