rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,03:44:10.41,436.04,-37.60,-917.97,-5.18,-27.18,-12.85,-41.70,-31.95,-48.90,28.75,100.0,
01/01/2000,03:44:10.51,430.66,-55.66,-863.77,-1.50,-9.34,-6.85,-41.25,-32.55,-46.65,28.75,18.182,
01/01/2000,03:44:10.61,388.67,-41.50,-881.35,-6.23,-4.34,3.08,-41.40,-30.45,-49.20,28.70,14.286,
01/01/2000,03:44:10.71,413.09,-33.20,-896.48,8.05,-4.56,-4.09,-40.95,-30.30,-50.70,28.75,12.903,
01/01/2000,03:44:10.81,442.38,-120.12,-924.80,27.63,24.66,-13.73,-40.05,-30.90,-49.50,28.60,12.195,
01/01/2000,03:44:10.91,657.23,-227.54,-930.18,-10.49,34.43,-43.88,-43.05,-30.60,-47.25,28.51,11.765,
01/01/2000,03:44:11.01,561.04,-106.93,-947.27,84.73,101.82,-10.72,-45.30,-30.90,-44.70,28.84,11.475,
01/01/2000,03:44:11.11,497.56,-185.55,-708.50,16.05,-64.97,-54.21,-43.50,-27.15,-42.90,28.70,11.268,
01/01/2000,03:44:11.22,585.94,-141.60,-589.36,100.13,73.39,-49.57,-45.15,-24.0,-42.0,28.89,11.111,
01/01/2000,03:44:11.32,706.05,-182.62,-709.96,54.47,-5.75,-56.01,-47.10,-24.60,-37.05,28.89,10.989,
01/01/2000,03:44:11.42,619.63,-59.08,-873.54,51.94,21.63,-28.93,-46.65,-23.55,-37.80,28.70,10.891,
01/01/2000,03:44:11.52,688.96,-75.20,-761.23,11.59,-3.37,-30.40,-45.60,-23.10,-38.10,28.84,10.811,
01/01/2000,03:44:11.62,695.31,-166.02,-764.16,31.94,11.15,-18.32,-46.65,-20.85,-36.30,28.70,10.744,
01/01/2000,03:44:11.72,655.27,-189.45,-679.69,5.20,-17.69,-14.79,-45.60,-20.85,-38.85,28.60,10.687,
01/01/2000,03:44:11.82,568.36,-205.57,-759.77,10.37,-15.19,-5.95,-45.45,-18.90,-39.30,28.75,10.638,
01/01/2000,03:44:11.92,661.13,-216.31,-721.19,-1.89,-22.78,-23.44,-45.45,-20.40,-39.0,28.51,10.596,
01/01/2000,03:44:12.02,693.36,-180.18,-848.14,15.40,4.53,-10.81,-45.15,-17.70,-42.0,28.84,10.559,
01/01/2000,03:44:12.12,578.61,-166.99,-743.16,-18.93,3.34,13.32,-44.55,-16.80,-40.50,28.89,10.526,
01/01/2000,03:44:12.22,645.02,-156.74,-806.64,-11.79,-17.89,-20.15,-45.75,-15.60,-39.30,28.75,10.497,
01/01/2000,03:44:12.32,681.64,-179.69,-778.81,13.47,18.02,-3.16,-42.75,-14.25,-40.80,28.60,10.471,
01/01/2000,03:44:12.42,542.48,-112.79,-966.31,23.14,-47.82,-7.82,-43.65,-15.15,-41.40,28.84,10.448,
01/01/2000,03:44:12.52,567.38,-188.48,-913.57,-24.13,41.66,66.50,-43.05,-18.90,-42.45,28.60,10.427,
01/01/2000,03:44:12.62,662.11,-188.48,-797.36,-49.95,-2.36,47.26,-43.50,-20.10,-40.20,28.60,10.407,
01/01/2000,03:44:12.72,580.08,-238.77,-570.31,-41.79,-10.46,77.24,-43.05,-23.25,-42.45,28.70,10.390,
01/01/2000,03:44:12.82,659.67,-321.29,-701.66,3.80,-12.18,91.57,-44.70,-27.75,-40.65,28.84,10.373,
01/01/2000,03:44:12.92,435.06,-416.02,-718.26,29.84,-25.98,70.64,-44.55,-34.50,-42.30,28.70,10.359,
01/01/2000,03:44:13.02,422.36,-482.91,-748.54,69.44,-15.92,53.86,-41.25,-40.65,-44.55,28.75,10.345,
01/01/2000,03:44:13.12,310.06,-519.04,-881.35,18.22,1.02,58.88,-38.40,-43.95,-43.50,28.60,10.332,
01/01/2000,03:44:13.22,282.71,-918.95,-784.18,75.82,-37.20,42.53,-34.05,-51.0,-42.30,28.84,10.320,
01/01/2000,03:44:13.32,185.06,-775.88,-887.70,63.21,-33.94,-4.85,-31.35,-54.15,-42.0,28.75,10.309,
01/01/2000,03:44:13.42,-2.44,-682.13,-638.18,-0.11,-26.07,-45.51,-32.85,-58.20,-40.35,29.04,10.299,
01/01/2000,03:44:13.52,197.27,-756.84,-502.44,33.82,92.93,1.04,-34.05,-53.70,-40.20,28.75,10.289,
01/01/2000,03:44:13.62,225.59,-788.57,-444.82,225.40,-52.65,9.84,-33.75,-55.05,-34.95,28.56,10.280,
01/01/2000,03:44:13.72,144.53,-811.04,494.14,236.62,-173.39,73.81,-34.05,-59.10,-26.25,28.75,10.272,
01/01/2000,03:44:13.82,142.58,-891.60,130.37,82.93,-103.96,91.16,-27.75,-62.55,-19.35,28.70,10.264,
01/01/2000,03:44:13.92,-23.93,-1061.04,296.39,-63.94,-45.18,18.69,-27.0,-64.65,-21.75,28.70,10.256,
01/01/2000,03:44:14.02,120.12,-983.40,211.43,0.01,-140.93,41.11,-28.65,-64.20,-25.05,28.75,10.249,
01/01/2000,03:44:14.12,123.54,-1006.35,197.75,48.53,-140.75,33.68,-22.80,-64.65,-31.20,28.75,10.243,
01/01/2000,03:44:14.22,17.09,-961.91,503.42,102.53,-71.12,74.31,-20.10,-66.30,-27.15,28.75,10.236,
01/01/2000,03:44:14.32,37.11,-863.28,553.71,-51.53,-20.85,28.11,-15.90,-68.25,-22.95,28.60,10.230,
01/01/2000,03:44:14.42,53.71,-939.94,451.66,-49.37,-71.21,22.60,-15.90,-67.80,-25.05,28.60,10.224,
01/01/2000,03:44:14.52,-13.18,-939.45,309.08,4.82,-24.55,0.36,-14.40,-69.15,-28.05,28.84,10.219,
01/01/2000,03:44:14.62,-17.09,-963.38,360.84,5.93,-14.41,33.07,-15.45,-67.95,-27.30,28.60,10.214,
01/01/2000,03:44:14.72,-2.93,-963.38,398.44,39.92,-59.44,-24.0,-11.40,-67.80,-27.90,28.56,10.209,
01/01/2000,03:44:14.82,-269.04,-937.50,541.50,38.44,5.85,72.98,-8.85,-67.05,-26.85,28.70,10.204,
01/01/2000,03:44:14.92,-115.72,-889.16,517.58,-35.24,8.34,28.32,-6.15,-68.55,-26.10,28.60,10.177,
